N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
1.20,50000.00,-1.99,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.21,50000.00,-1.99,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.21,50000.00,-1.93,0.00,0.13,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.22,50000.00,-1.93,0.00,-0.19,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.22,50000.00,-1.99,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.23,50000.00,-1.99,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.23,50000.00,-1.93,0.00,-0.31,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.24,50000.00,-1.99,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.24,50000.00,-1.98,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.25,50000.00,-1.98,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.25,50000.00,-1.98,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.26,50000.00,-1.98,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.26,50000.00,-1.98,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.27,50000.00,-1.98,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.27,50000.00,-1.92,0.00,0.13,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.28,50000.00,-1.98,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.28,50000.00,-1.92,0.00,-0.03,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.29,50000.00,-1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.29,50000.00,-1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.30,50000.00,-1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.30,50000.00,-1.98,0.00,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.31,50000.00,-1.92,0.00,-0.03,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.31,50000.00,-1.92,0.00,0.32,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.32,50000.00,-1.92,0.00,0.26,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.32,50000.00,-1.98,0.00,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.33,50000.00,-1.98,0.00,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.33,50000.00,-1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.34,50000.00,-1.97,0.00,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.34,50000.00,-1.97,0.00,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.35,50000.00,-1.97,0.00,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.35,50000.00,-1.91,0.01,-0.33,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.36,50000.00,-1.91,0.01,0.17,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.36,50000.00,-1.97,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.37,50000.00,-1.91,0.01,-0.40,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.37,50000.00,-1.97,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.38,50000.00,-1.97,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.38,50000.00,-1.97,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.39,50000.00,-1.91,0.01,-0.11,0.08,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.39,50000.00,-1.90,0.01,0.32,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.40,50000.00,-1.97,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.40,50000.00,-1.97,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.41,50000.00,-1.91,0.04,0.66,0.26,0.00,0.00,0.05,0.00,,,,,,,,,,,,,,
1.41,50000.00,-1.96,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.42,50000.00,-1.96,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.42,50000.00,-1.96,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.43,50000.00,-1.96,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.43,50000.00,-1.96,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.44,50000.00,-1.96,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.44,50000.00,-1.90,0.01,0.11,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.45,50000.00,-1.96,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.45,50000.00,-1.89,0.01,-0.26,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.46,50000.00,-1.96,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.46,50000.00,-1.96,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.47,50000.00,-1.95,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.47,50000.00,-1.89,0.01,0.00,0.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.48,50000.00,-1.95,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.48,50000.00,-1.89,0.01,-0.03,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.49,50000.00,-1.89,0.01,0.11,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.49,50000.00,-1.95,0.01,-0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.50,50000.00,-1.95,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.50,50000.00,-1.95,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.51,50000.00,-1.95,0.01,0.99,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.51,50000.00,-1.95,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.52,50000.00,-1.94,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.52,50000.00,-1.88,0.01,-0.29,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.53,50000.00,-1.94,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.53,50000.00,-1.94,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.54,50000.00,-1.94,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.54,50000.00,-1.94,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.55,50000.00,-1.94,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.55,50000.00,-1.94,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.56,50000.00,-1.94,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.56,50000.00,-1.93,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.57,50000.00,-1.93,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.57,50000.00,-1.93,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.58,50000.00,-1.93,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.58,50000.00,-1.93,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.59,50000.00,-1.93,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.59,50000.00,-1.93,0.01,0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.60,50000.00,-1.86,0.01,-0.11,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.60,50000.00,-1.86,0.01,-0.39,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.61,50000.00,-1.92,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.61,50000.00,-1.92,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.62,50000.00,-1.92,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.62,50000.00,-1.85,0.01,0.04,0.07,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.63,50000.00,-1.92,0.01,-0.98,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.63,50000.00,-1.85,0.01,-0.36,0.05,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.64,50000.00,-1.91,0.01,-0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.64,50000.00,-1.84,0.01,0.44,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.65,50000.00,-1.91,0.01,0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.65,50000.00,-1.91,0.01,0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.66,50000.00,-1.91,0.01,-0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.66,50000.00,-1.84,0.01,-0.43,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.67,50000.00,-1.90,0.01,-0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.67,50000.00,-1.90,0.01,-0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.68,50000.00,-1.83,0.01,0.26,0.15,0.00,0.00,0.01,0.00,,,,,,,,,,,,,,
1.68,50000.00,-1.90,0.01,0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.69,50000.00,-1.83,0.01,0.21,0.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.69,50000.00,-1.89,0.01,0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.70,50000.00,-1.89,0.01,-0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.70,50000.00,-1.89,0.01,0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.71,50000.00,-1.82,0.01,0.19,0.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
1.71,50000.00,-1.89,0.01,-0.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
