N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
1.2,50000,-1.987995411,0.003194816,-0.996872699,0.000860621,7.08E-06,3.71E-07,6.17E-07,2.59E-08,,,,,,,,,,,,,,
1.205,50000,-1.987660939,0.003244384,-0.996781559,0.000873701,7.25E-06,2.71E-07,6.32E-07,2.70E-08,,,,,,,,,,,,,,
1.21,50000,-1.929939737,0.003853804,,,1.01E-05,4.02E-07,0.000684477,2.64E-05,,,,,,,,,,,,,,
1.215,50000,-1.92937612,0.003982634,,,1.07E-05,4.62E-07,0.001557445,4.98E-05,,,,,,,,,,,,,,
1.22,50000,-1.986410387,0.003396761,0.996443307,0.000923972,7.76E-06,3.51E-07,6.99E-07,3.19E-08,,,,,,,,,,,,,,
1.225,50000,-1.98607562,0.003411251,-0.996353855,0.000927565,7.75E-06,3.90E-07,7.02E-07,3.32E-08,,,,,,,,,,,,,,
1.23,50000,-1.927895352,0.004131937,,,1.13E-05,5.17E-07,0.001026095,3.05E-05,,,,,,,,,,,,,,
1.235,50000,-1.985458412,0.003555646,-0.996191479,0.000967317,8.27E-06,3.36E-07,7.56E-07,4.09E-08,,,,,,,,,,,,,,
1.24,50000,-1.98492678,0.003527816,0.996049447,0.000959598,8.08E-06,3.64E-07,7.41E-07,4.31E-08,,,,,,,,,,,,,,
1.245,50000,-1.984459772,0.003588229,-0.995915203,0.000980928,8.28E-06,3.78E-07,7.73E-07,3.16E-08,,,,,,,,,,,,,,
1.25,50000,-1.983931804,0.003719631,-0.995773943,0.001022462,8.86E-06,4.10E-07,8.35E-07,3.35E-08,,,,,,,,,,,,,,
1.255,50000,-1.983520077,0.003773894,0.995664314,0.001035848,9.03E-06,4.16E-07,8.52E-07,3.51E-08,,,,,,,,,,,,,,
1.26,50000,-1.983125781,0.003749915,0.995562378,0.001033865,8.84E-06,2.94E-07,8.47E-07,3.85E-08,,,,,,,,,,,,,,
1.265,50000,-1.982368462,0.003917712,-0.995344522,0.001088041,9.58E-06,3.70E-07,9.33E-07,4.62E-08,,,,,,,,,,,,,,
1.27,50000,-1.92320395,0.004536134,,,1.27E-05,5.17E-07,0.000791077,4.87E-05,,,,,,,,,,,,,,
1.275,50000,-1.981776982,0.00398177,-0.995193182,0.001100747,9.75E-06,4.49E-07,9.49E-07,4.36E-08,,,,,,,,,,,,,,
1.28,50000,-1.922104286,0.004523612,,,1.25E-05,5.51E-07,0.00200003,6.18E-05,,,,,,,,,,,,,,
1.285,50000,-1.980692207,0.004059016,0.994901794,0.001120842,9.97E-06,3.93E-07,9.75E-07,4.39E-08,,,,,,,,,,,,,,
1.29,50000,-1.98002036,0.004193608,0.994701786,0.001175605,1.05E-05,5.27E-07,1.07E-06,5.32E-08,,,,,,,,,,,,,,
1.295,50000,-1.979612904,0.004170783,0.99460449,0.001162452,1.04E-05,4.67E-07,1.04E-06,5.73E-08,,,,,,,,,,,,,,
1.3,50000,-1.979196289,0.004176542,-0.994485282,0.001161,1.03E-05,4.18E-07,1.04E-06,4.38E-08,,,,,,,,,,,,,,
1.305,50000,-1.918487933,0.004814092,,,1.36E-05,5.41E-07,0.00085711,3.57E-05,,,,,,,,,,,,,,
1.31,50000,-1.917518877,0.00488552,,,1.39E-05,6.83E-07,0.002791495,0.000193133,,,,,,,,,,,,,,
1.315,50000,-1.917372733,0.004947052,,,1.41E-05,7.15E-07,0.002973756,7.73E-05,,,,,,,,,,,,,,
1.32,50000,-1.977050202,0.004522011,-0.993895434,0.001261481,1.17E-05,4.99E-07,1.20E-06,4.78E-08,,,,,,,,,,,,,,
1.325,50000,-1.976268378,0.004523715,-0.993684518,0.001264512,1.16E-05,4.99E-07,1.20E-06,5.01E-08,,,,,,,,,,,,,,
1.33,50000,-1.975634427,0.004578359,0.99350649,0.001290757,1.18E-05,4.91E-07,1.25E-06,5.32E-08,,,,,,,,,,,,,,
1.335,50000,-1.974937715,0.004562662,-0.993315802,0.001285699,1.17E-05,5.93E-07,1.24E-06,6.86E-08,,,,,,,,,,,,,,
1.34,50000,-1.974353507,0.004699805,-0.993151809,0.001327128,1.23E-05,6.12E-07,1.31E-06,5.47E-08,,,,,,,,,,,,,,
1.345,50000,-1.973800187,0.004756253,0.99300361,0.001341639,1.25E-05,5.86E-07,1.33E-06,5.37E-08,,,,,,,,,,,,,,
1.35,50000,-1.911620823,0.005363076,,,1.58E-05,6.16E-07,0.001940612,6.77E-05,,,,,,,,,,,,,,
1.355,50000,-1.910902287,0.005467875,,,1.63E-05,7.54E-07,0.00358311,0.000111522,,,,,,,,,,,,,,
1.36,50000,-1.97166377,0.005021047,0.992410465,0.00143203,1.36E-05,6.35E-07,1.50E-06,8.01E-08,,,,,,,,,,,,,,
1.365,50000,-1.909448464,0.005484965,,,1.61E-05,5.98E-07,0.00262769,5.44E-05,,,,,,,,,,,,,,
1.37,50000,-1.970522554,0.005030161,-0.992087786,0.001437157,1.35E-05,5.83E-07,1.50E-06,7.34E-08,,,,,,,,,,,,,,
1.375,50000,-1.969762738,0.005214394,0.991890206,0.00148561,1.43E-05,5.78E-07,1.60E-06,7.68E-08,,,,,,,,,,,,,,
1.38,50000,-1.968886658,0.00527944,0.991624642,0.001516235,1.46E-05,6.74E-07,1.66E-06,8.11E-08,,,,,,,,,,,,,,
1.385,50000,-1.90634529,0.005968554,,,1.85E-05,6.61E-07,0.004244249,0.000244614,,,,,,,,,,,,,,
1.39,50000,-1.904981018,0.006016298,,,1.87E-05,7.81E-07,0.001070076,4.83E-05,,,,,,,,,,,,,,
1.395,50000,-1.966749993,0.005376686,-0.991018087,0.001556985,1.48E-05,6.86E-07,1.74E-06,8.22E-08,,,,,,,,,,,,,,
1.4,50000,-1.966176681,0.005506351,-0.990860087,0.001591356,1.54E-05,6.00E-07,1.80E-06,8.90E-08,,,,,,,,,,,,,,
1.405,50000,,,,,,,,,,,,,,,,,,,,,,
1.41,50000,-1.964668808,0.005642087,0.990441295,0.001634318,1.60E-05,7.56E-07,1.89E-06,9.22E-08,,,,,,,,,,,,,,
1.415,50000,-1.963769192,0.005673183,0.990183952,0.001656308,1.60E-05,7.18E-07,1.93E-06,9.34E-08,,,,,,,,,,,,,,
1.42,50000,-1.962727175,0.005822879,0.989880908,0.001697685,1.68E-05,7.99E-07,2.03E-06,8.65E-08,,,,,,,,,,,,,,
1.425,50000,-1.961803815,0.00596596,-0.989609092,0.001751948,1.75E-05,7.34E-07,2.15E-06,9.96E-08,,,,,,,,,,,,,,
1.43,50000,-1.961339855,0.005940022,0.989489005,0.001728516,1.72E-05,7.03E-07,2.09E-06,7.92E-08,,,,,,,,,,,,,,
1.435,50000,-1.960195575,0.005853421,-0.989177601,0.001707966,1.66E-05,7.68E-07,2.03E-06,9.09E-08,,,,,,,,,,,,,,
1.44,50000,-1.895540745,0.006627084,,,2.12E-05,9.17E-07,0.001410986,4.47E-05,,,,,,,,,,,,,,
1.445,50000,-1.95801135,0.00622365,0.988545401,0.001826428,1.85E-05,7.45E-07,2.31E-06,9.66E-08,,,,,,,,,,,,,,
1.45,50000,-1.893580048,0.00663728,,,2.09E-05,8.13E-07,0.001958857,8.05E-05,,,,,,,,,,,,,,
1.455,50000,-1.956414974,0.006202402,-0.988075674,0.001836735,1.81E-05,8.92E-07,2.31E-06,1.13E-07,,,,,,,,,,,,,,
1.46,50000,-1.955559078,0.006303838,-0.987835642,0.001869891,1.86E-05,8.93E-07,2.39E-06,1.07E-07,,,,,,,,,,,,,,
1.465,50000,-1.954722478,0.006479161,-0.98757609,0.001923978,1.95E-05,9.22E-07,2.52E-06,1.15E-07,,,,,,,,,,,,,,
1.47,50000,-1.889857119,0.006693849,,,2.07E-05,9.79E-07,0.00073175,3.90E-05,,,,,,,,,,,,,,
1.475,50000,-1.952661638,0.006714539,-0.986963305,0.002045103,2.07E-05,9.15E-07,2.83E-06,1.49E-07,,,,,,,,,,,,,,
1.48,50000,-1.887358799,0.006996271,,,2.23E-05,9.52E-07,0.003478206,0.000122864,,,,,,,,,,,,,,
1.485,50000,-1.885928718,0.007103214,,,2.28E-05,1.10E-06,0.00206693,5.46E-05,,,,,,,,,,,,,,
1.49,50000,-1.949910638,0.006767613,-0.986184841,0.002045356,2.06E-05,1.04E-06,2.81E-06,1.30E-07,,,,,,,,,,,,,,
1.495,50000,-1.948824318,0.00673124,0.985873021,0.002022921,2.02E-05,8.99E-07,2.73E-06,8.94E-08,,,,,,,,,,,,,,
1.5,50000,-1.947493094,0.006938577,0.985459185,0.002111443,2.14E-05,9.34E-07,2.97E-06,1.49E-07,,,,,,,,,,,,,,
1.505,50000,-1.947069135,0.007107451,0.985361545,0.002156512,2.23E-05,1.07E-06,3.08E-06,1.46E-07,,,,,,,,,,,,,,
1.51,50000,-1.945329383,0.007084557,0.984833825,0.002162555,2.20E-05,9.90E-07,3.10E-06,1.46E-07,,,,,,,,,,,,,,
1.515,50000,-1.944745136,0.007112628,0.984670433,0.002162,2.20E-05,9.70E-07,3.08E-06,1.25E-07,,,,,,,,,,,,,,
1.52,50000,-1.877882031,0.007782595,,,2.62E-05,1.24E-06,0.001452103,4.83E-05,,,,,,,,,,,,,,
1.525,50000,-1.942270721,0.007217259,-0.983944917,0.002204509,2.24E-05,8.02E-07,3.18E-06,1.46E-07,,,,,,,,,,,,,,
1.53,50000,-1.940993889,0.007263337,-0.983544309,0.002228725,2.25E-05,1.07E-06,3.25E-06,1.39E-07,,,,,,,,,,,,,,
1.535,50000,-1.940030641,0.007497965,-0.98325934,0.002307572,2.38E-05,1.19E-06,3.46E-06,1.71E-07,,,,,,,,,,,,,,
1.54,50000,-1.938919193,0.007649124,-0.982948464,0.002361406,2.47E-05,1.00E-06,3.62E-06,1.73E-07,,,,,,,,,,,,,,
1.545,50000,-1.937743529,0.007462571,0.982578444,0.002311635,2.33E-05,1.15E-06,3.45E-06,1.57E-07,,,,,,,,,,,,,,
1.55,50000,-1.936437225,0.007874211,-0.982225868,0.002439883,2.58E-05,1.13E-06,3.83E-06,1.74E-07,,,,,,,,,,,,,,
1.555,50000,-1.935240033,0.007738896,0.981840352,0.002416533,2.47E-05,1.04E-06,3.75E-06,1.81E-07,,,,,,,,,,,,,,
1.56,50000,-1.933079145,0.007775903,0.981142236,0.002443656,2.48E-05,1.17E-06,3.82E-06,1.65E-07,,,,,,,,,,,,,,
1.565,50000,-1.932479817,0.007943333,0.980966532,0.002530616,2.57E-05,1.13E-06,4.08E-06,2.02E-07,,,,,,,,,,,,,,
1.57,50000,-1.931506289,0.007961658,-0.980701507,0.002510729,2.57E-05,1.42E-06,4.01E-06,1.98E-07,,,,,,,,,,,,,,
1.575,50000,-1.929900457,0.008201121,-0.980185223,0.002594252,2.71E-05,1.26E-06,4.27E-06,1.76E-07,,,,,,,,,,,,,,
1.58,50000,-1.92817404,0.008172162,-0.979680275,0.002573842,2.67E-05,1.33E-06,4.19E-06,1.88E-07,,,,,,,,,,,,,,
1.585,50000,-1.926733903,0.008226977,0.979228199,0.002623927,2.69E-05,1.31E-06,4.33E-06,2.22E-07,,,,,,,,,,,,,,
1.59,50000,-1.925256463,0.008420291,0.978744611,0.002690305,2.80E-05,1.03E-06,4.54E-06,1.73E-07,,,,,,,,,,,,,,
1.595,50000,-1.857073752,0.0088266,,,3.06E-05,1.35E-06,0.002830653,0.000125245,,,,,,,,,,,,,,
1.6,50000,-1.855586592,0.008984906,,,3.15E-05,1.51E-06,0.002951935,7.10E-05,,,,,,,,,,,,,,
1.605,50000,-1.921446206,0.008491436,-0.977602379,0.002744666,2.79E-05,1.20E-06,4.69E-06,2.33E-07,,,,,,,,,,,,,,
