N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
150,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.5,TRUE,0.2,0.04,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
1.2,5000,-1.929092356,0.004141776,-0.077533618,0.032138224,1.18E-05,7.28E-07,0.000858295,3.80E-05,,,,,,,,,,,,,,,,,,
1.21,5000,-1.94446944,0.006740163,-0.520603076,0.045647858,3.08E-05,7.75E-07,0.001719006,5.52E-05,,,,,,,,,,,,,,,,,,
1.22,5000,-1.927588071,0.003578296,-0.172301262,0.014740061,8.58E-06,3.48E-07,0.000178185,1.08E-05,,,,,,,,,,,,,,,,,,
1.23,5000,-1.930068907,0.005919509,0.31642576,0.034219081,2.32E-05,1.03E-06,0.000952442,4.48E-05,,,,,,,,,,,,,,,,,,
1.24,5000,-1.938063004,0.00427854,-0.327327538,0.051476985,1.17E-05,7.61E-07,0.002133853,3.91E-05,,,,,,,,,,,,,,,,,,
1.25,5000,-1.934877973,0.006170492,0.33288704,0.0334215,2.45E-05,1.07E-06,0.000890478,5.33E-05,,,,,,,,,,,,,,,,,,
1.26,5000,-1.938251324,0.003172251,-0.302236107,0.038101977,6.29E-06,3.98E-07,0.001153946,3.64E-05,,,,,,,,,,,,,,,,,,
1.27,5000,-1.932059164,0.003264838,0.309088373,0.01826107,6.65E-06,4.35E-07,0.00026236,1.37E-05,,,,,,,,,,,,,,,,,,
1.28,5000,-1.917568693,0.004222249,0.194764942,0.031827017,1.09E-05,5.07E-07,0.0007863,4.00E-05,,,,,,,,,,,,,,,,,,
1.29,5000,-1.920295733,0.007565882,-0.339810596,0.01461195,3.43E-05,2.04E-06,0.000165543,2.11E-05,,,,,,,,,,,,,,,,,,
1.3,5000,-1.929869991,0.003848775,-0.219462453,0.012827684,8.70E-06,5.88E-07,0.000126462,5.66E-06,,,,,,,,,,,,,,,,,,
1.31,5000,-1.923971556,0.003878129,0.000427253,0.046363634,8.83E-06,5.42E-07,0.001644903,7.87E-05,,,,,,,,,,,,,,,,,,
1.32,5000,-1.924842489,0.003850823,0.120632622,0.017784177,8.48E-06,4.64E-07,0.000238349,6.89E-06,,,,,,,,,,,,,,,,,,
1.33,5000,-1.909624853,0.007374409,0.326479733,0.053176943,3.11E-05,1.23E-06,0.002121409,4.55E-05,,,,,,,,,,,,,,,,,,
1.34,5000,-1.914783893,0.006697031,-0.037972053,0.044752471,2.50E-05,1.00E-06,0.001485671,5.40E-05,,,,,,,,,,,,,,,,,,
1.35,5000,-1.914283413,0.006645512,-0.300385618,0.028704086,2.41E-05,1.12E-06,0.000615791,2.76E-05,,,,,,,,,,,,,,,,,,
