N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.269,TRUE,0.2,0.002,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
1.2,5000,-1.987624,0.015019808,0.996724,0.004293929,0.000157953,1.18E-05,1.55E-05,1.04E-06,,,,,,,,,,,,,,,,,,
1.21,5000,-1.989175,0.015577046,0.997182,0.004268358,0.00016588,1.32E-05,1.51E-05,8.12E-07,,,,,,,,,,,,,,,,,,
1.22,5000,-1.988027,0.014476266,0.996854,0.004176444,0.000140512,1.16E-05,1.42E-05,1.08E-06,,,,,,,,,,,,,,,,,,
1.23,5000,-1.986622,0.016865916,-0.996485,0.004636785,0.000185249,2.44E-05,1.76E-05,1.25E-06,,,,,,,,,,,,,,,,,,
1.24,5000,-1.986357,0.017184398,0.996437,0.004745527,0.000188164,2.47E-05,1.80E-05,1.45E-06,,,,,,,,,,,,,,,,,,
1.25,5000,-1.984298,0.017497634,0.995911,0.004790102,0.0001936,1.91E-05,1.78E-05,1.50E-06,,,,,,,,,,,,,,,,,,
1.26,5000,-1.982717,0.018325199,-0.99547,0.005077312,0.000214488,1.60E-05,2.05E-05,2.06E-06,,,,,,,,,,,,,,,,,,
1.27,5000,-1.983662,0.018700261,0.995687,0.005252907,0.0002159,1.57E-05,2.15E-05,1.10E-06,,,,,,,,,,,,,,,,,,
1.28,5000,-1.981907,0.019445008,-0.995247,0.005440955,0.000234329,1.70E-05,2.32E-05,1.48E-06,,,,,,,,,,,,,,,,,,
1.29,5000,-1.983679,0.017779763,0.995744,0.0049261,0.000191127,7.99E-06,1.88E-05,1.10E-06,,,,,,,,,,,,,,,,,,
1.3,5000,-1.982321,0.019337217,-0.995387,0.005291997,0.000220009,1.83E-05,2.16E-05,1.60E-06,,,,,,,,,,,,,,,,,,
1.31,5000,-1.97975,0.0196346,0.994681,0.005475695,0.000225349,1.78E-05,2.29E-05,2.24E-06,,,,,,,,,,,,,,,,,,
1.32,5000,-1.97848,0.021285197,-0.994277,0.006078015,0.000261406,1.50E-05,2.77E-05,2.50E-06,,,,,,,,,,,,,,,,,,
1.33,5000,-1.97826,0.021182125,0.994305,0.005958353,0.000254666,1.52E-05,2.71E-05,1.85E-06,,,,,,,,,,,,,,,,,,
1.34,5000,-1.974197,0.023039318,-0.993077,0.006683343,0.000293491,1.41E-05,3.36E-05,2.65E-06,,,,,,,,,,,,,,,,,,
1.35,5000,-1.975275,0.02163468,0.993565,0.005875864,0.000257447,1.77E-05,2.55E-05,2.31E-06,,,,,,,,,,,,,,,,,,
1.36,5000,-1.973078,0.023728589,0.992807,0.006851697,0.000304415,1.82E-05,3.48E-05,2.80E-06,,,,,,,,,,,,,,,,,,
1.37,5000,-1.969904,0.025375397,-0.991917,0.007345074,0.000336892,3.11E-05,3.89E-05,2.57E-06,,,,,,,,,,,,,,,,,,
1.38,5000,-1.969833,0.025515233,0.992,0.007144228,0.000340946,2.02E-05,3.69E-05,2.08E-06,,,,,,,,,,,,,,,,,,
1.39,5000,-1.968433,0.023955156,0.991611,0.006807325,0.000295773,1.11E-05,3.31E-05,2.90E-06,,,,,,,,,,,,,,,,,,
1.4,5000,-1.965966,0.026591293,0.990802,0.007835611,0.000355,2.26E-05,4.33E-05,1.72E-06,,,,,,,,,,,,,,,,,,
1.41,5000,-1.967701,0.026890139,-0.991292,0.007741494,0.000371528,1.67E-05,4.25E-05,4.96E-06,,,,,,,,,,,,,,,,,,
1.42,5000,-1.967391,0.026629835,0.991187,0.007833647,0.000353552,2.45E-05,4.28E-05,2.73E-06,,,,,,,,,,,,,,,,,,
1.43,5000,-1.962472,0.02991754,0.989825,0.00892605,0.000436553,2.79E-05,5.59E-05,1.85E-06,,,,,,,,,,,,,,,,,,
1.44,5000,-1.961133,0.02908593,-0.989508,0.008431959,0.000406789,3.57E-05,4.97E-05,3.83E-06,,,,,,,,,,,,,,,,,,
1.45,5000,-1.955518,0.031228219,0.987733,0.009485553,0.000459164,3.14E-05,6.21E-05,6.20E-06,,,,,,,,,,,,,,,,,,
1.46,5000,-1.95658,0.029088719,-0.988141,0.008670013,0.000391071,2.40E-05,5.13E-05,3.36E-06,,,,,,,,,,,,,,,,,,
1.47,5000,-1.959258,0.028947529,-0.98899,0.008407729,0.000381971,1.90E-05,4.81E-05,4.01E-06,,,,,,,,,,,,,,,,,,
1.48,5000,-1.951293,0.03405324,-0.986535,0.010392246,0.000523921,4.04E-05,7.39E-05,6.86E-06,,,,,,,,,,,,,,,,,,
1.49,5000,-1.951736,0.032374933,0.986694,0.010014008,0.000475686,2.54E-05,6.70E-05,7.36E-06,,,,,,,,,,,,,,,,,,
1.5,5000,-1.950689,0.031009035,-0.98656,0.00917586,0.000427326,2.67E-05,5.56E-05,3.63E-06,,,,,,,,,,,,,,,,,,
1.51,5000,-1.946367,0.032550519,0.985182,0.009902367,0.00046572,2.80E-05,6.47E-05,4.19E-06,,,,,,,,,,,,,,,,,,
1.52,5000,-1.945813,0.033910825,0.984956,0.011073304,0.00049897,3.89E-05,8.08E-05,7.51E-06,,,,,,,,,,,,,,,,,,
1.53,5000,-1.940821,0.03422106,-0.983842,0.010205833,0.000499962,2.22E-05,6.80E-05,5.94E-06,,,,,,,,,,,,,,,,,,
1.54,5000,-1.942385,0.036672289,0.984045,0.011193434,0.000568306,2.91E-05,8.00E-05,7.92E-06,,,,,,,,,,,,,,,,,,
1.55,5000,-1.942282,0.03417649,0.983668,0.011063714,0.000487695,3.57E-05,7.80E-05,6.33E-06,,,,,,,,,,,,,,,,,,
1.56,5000,-1.942137,0.034940639,-0.984047,0.010595131,0.000501449,3.91E-05,7.16E-05,3.92E-06,,,,,,,,,,,,,,,,,,
1.57,5000,-1.928218,0.041414182,-0.979082,0.014276809,0.000688865,3.71E-05,0.000129634,1.10E-05,,,,,,,,,,,,,,,,,,
1.58,5000,-1.936906,0.036432501,0.982239,0.011868103,0.000530597,2.39E-05,8.89E-05,7.06E-06,,,,,,,,,,,,,,,,,,
1.59,5000,-1.930617,0.038465365,0.980437,0.012455281,0.000583664,4.96E-05,9.59E-05,8.64E-06,,,,,,,,,,,,,,,,,,
1.6,5000,-1.927569,0.039582259,0.979815,0.012064857,0.000604108,2.97E-05,9.01E-05,4.63E-06,,,,,,,,,,,,,,,,,,
1.61,5000,-1.925162,0.040126347,-0.979051,0.012988241,0.000617088,3.27E-05,0.000104618,9.63E-06,,,,,,,,,,,,,,,,,,
1.62,5000,-1.922541,0.041319225,-0.978115,0.012944565,0.000645768,4.34E-05,0.000103341,5.26E-06,,,,,,,,,,,,,,,,,,
1.63,5000,-1.922543,0.043169181,-0.978294,0.013293591,0.000690508,2.98E-05,0.000108404,8.64E-06,,,,,,,,,,,,,,,,,,
1.64,5000,-1.91352,0.043740937,-0.975017,0.014243058,0.000714316,3.42E-05,0.000121968,8.73E-06,,,,,,,,,,,,,,,,,,
1.65,5000,-1.915485,0.045333649,0.975634,0.014993934,0.00074782,5.07E-05,0.000133703,1.03E-05,,,,,,,,,,,,,,,,,,
1.66,5000,-1.91125,0.045444334,0.974512,0.014802427,0.000759458,5.60E-05,0.000132406,1.33E-05,,,,,,,,,,,,,,,,,,
1.67,5000,-1.905098,0.046932829,-0.972491,0.01647422,0.000790213,4.47E-05,0.000164173,1.95E-05,,,,,,,,,,,,,,,,,,
1.68,5000,-1.907928,0.042098418,-0.973205,0.014246156,0.000624472,5.61E-05,0.000118805,1.09E-05,,,,,,,,,,,,,,,,,,
1.69,5000,-1.900715,0.046865059,0.971516,0.015099727,0.000768388,4.46E-05,0.000134449,6.59E-06,,,,,,,,,,,,,,,,,,
1.7,5000,-1.897711,0.047266748,0.970421,0.015619787,0.000771556,4.68E-05,0.000142304,5.77E-06,,,,,,,,,,,,,,,,,,
1.71,5000,-1.893285,0.04897493,0.969061,0.016393391,0.000818956,3.74E-05,0.000156032,8.23E-06,,,,,,,,,,,,,,,,,,
1.72,5000,-1.894624,0.051607932,0.969302,0.016988608,0.000896211,4.19E-05,0.000166525,2.31E-05,,,,,,,,,,,,,,,,,,
1.73,5000,-1.894876,0.048081333,0.969912,0.015575052,0.000771976,5.10E-05,0.000140637,1.20E-05,,,,,,,,,,,,,,,,,,
1.74,5000,-1.879848,0.051043676,-0.964649,0.017641196,0.000860934,3.94E-05,0.000177657,1.15E-05,,,,,,,,,,,,,,,,,,
1.75,5000,-1.883294,0.054381978,-0.965819,0.018888733,0.000951489,0.00010734,0.000203161,2.71E-05,,,,,,,,,,,,,,,,,,
1.76,5000,-1.878035,0.057536022,0.963859,0.019602375,0.001064172,4.61E-05,0.000218598,1.63E-05,,,,,,,,,,,,,,,,,,
1.77,5000,-1.867752,0.06227043,-0.959592,0.022399409,0.001228545,6.83E-05,0.000282749,2.65E-05,,,,,,,,,,,,,,,,,,
1.78,5000,-1.860082,0.057410829,-0.957511,0.021121313,0.00103972,4.11E-05,0.000249451,1.16E-05,,,,,,,,,,,,,,,,,,
1.79,5000,-1.86174,0.06457091,-0.956898,0.02497554,0.001295344,6.41E-05,0.000345748,3.14E-05,,,,,,,,,,,,,,,,,,
1.8,5000,-1.84318,0.064158691,-0.950698,0.025479458,0.001244982,5.42E-05,0.000358957,3.88E-05,,,,,,,,,,,,,,,,,,
1.81,5000,-1.854774,0.062806759,0.955363,0.023261411,0.001206994,0.000104742,0.000295745,2.95E-05,,,,,,,,,,,,,,,,,,
1.82,5000,-1.851046,0.061369258,-0.954453,0.023174248,0.001138244,7.13E-05,0.000286945,1.97E-05,,,,,,,,,,,,,,,,,,
1.83,5000,-1.842769,0.07079165,-0.950209,0.032695433,0.001495211,5.84E-05,0.00058842,7.85E-05,,,,,,,,,,,,,,,,,,
1.84,5000,-1.846684,0.062609537,0.952725,0.02368247,0.001144581,7.99E-05,0.000304312,2.93E-05,,,,,,,,,,,,,,,,,,
1.85,5000,-1.829783,0.066557028,0.947265,0.024605787,0.001301411,6.83E-05,0.000325523,3.14E-05,,,,,,,,,,,,,,,,,,
1.86,5000,-1.828575,0.064581068,0.947153,0.024170221,0.001203242,9.50E-05,0.00031089,1.97E-05,,,,,,,,,,,,,,,,,,
1.87,5000,-1.818745,0.0626803,0.943666,0.023419659,0.001118155,6.93E-05,0.000293245,1.31E-05,,,,,,,,,,,,,,,,,,
1.88,5000,-1.813219,0.062908529,-0.940942,0.026155738,0.00111656,4.37E-05,0.000366264,3.22E-05,,,,,,,,,,,,,,,,,,
1.89,5000,-1.81393,0.064766929,-0.942264,0.024892656,0.001163756,9.08E-05,0.000324541,2.09E-05,,,,,,,,,,,,,,,,,,
1.9,5000,-1.819095,0.067627036,0.943933,0.026425111,0.001263001,8.55E-05,0.000367867,2.66E-05,,,,,,,,,,,,,,,,,,
1.91,5000,-1.811168,0.069593001,-0.941326,0.026343533,0.001317573,8.50E-05,0.00036604,2.97E-05,,,,,,,,,,,,,,,,,,
1.92,5000,-1.796842,0.074441702,0.932311,0.034074247,0.001498221,0.000114009,0.000604735,2.91E-05,,,,,,,,,,,,,,,,,,
1.93,5000,-1.762381,0.096455927,-0.914737,0.056346125,0.00248946,0.000175313,0.001664127,0.000252939,,,,,,,,,,,,,,,,,,
1.94,5000,-1.790409,0.072035392,-0.93452,0.027603616,0.001374951,8.37E-05,0.000390933,3.94E-05,,,,,,,,,,,,,,,,,,
1.95,5000,-1.762698,0.080549369,-0.91974,0.036613282,0.001704996,0.000112368,0.000673688,3.44E-05,,,,,,,,,,,,,,,,,,
1.96,5000,-1.767553,0.072702388,-0.924124,0.030102535,0.001357676,0.000111009,0.000459995,2.98E-05,,,,,,,,,,,,,,,,,,
1.97,5000,-1.754186,0.078930966,0.918941,0.033764234,0.001581655,0.000126539,0.000572287,3.87E-05,,,,,,,,,,,,,,,,,,
1.98,5000,-1.755704,0.076383404,-0.916548,0.036713944,0.001502105,7.40E-05,0.000677972,6.54E-05,,,,,,,,,,,,,,,,,,
1.99,5000,-1.752321,0.081175908,-0.919208,0.032402203,0.001677369,6.00E-05,0.000527126,2.52E-05,,,,,,,,,,,,,,,,,,
2,5000,-1.735741,0.090027751,-0.905766,0.049376343,0.002002541,0.000144406,0.001227308,8.72E-05,,,,,,,,,,,,,,,,,,
2.01,5000,-1.730875,0.095924759,0.900492,0.062577535,0.002295922,0.00024917,0.001924732,0.000225673,,,,,,,,,,,,,,,,,,
2.02,5000,-1.715189,0.09773034,-0.901757,0.043985088,0.002331032,9.55E-05,0.000947111,8.16E-05,,,,,,,,,,,,,,,,,,
2.03,5000,-1.729563,0.07827499,0.909353,0.033360252,0.001461389,6.02E-05,0.00054837,3.88E-05,,,,,,,,,,,,,,,,,,
2.04,5000,-1.713008,0.086037445,0.900862,0.042499494,0.001754215,0.000131787,0.000872496,5.95E-05,,,,,,,,,,,,,,,,,,
2.05,5000,-1.691493,0.092659948,-0.885595,0.053254774,0.002056496,0.000115397,0.001384428,0.000140376,,,,,,,,,,,,,,,,,,
2.06,5000,-1.673415,0.098143175,0.878738,0.053366163,0.002261518,8.67E-05,0.001365989,0.000128749,,,,,,,,,,,,,,,,,,
2.069,5000,-1.643574,0.106492237,0.859927,0.066495411,0.002640906,0.000187896,0.002107369,0.000112555,,,,,,,,,,,,,,,,,,
2.071,5000,-1.660242,0.098688102,-0.870232,0.063038133,0.002262546,6.08E-05,0.001917128,0.000168742,,,,,,,,,,,,,,,,,,
2.073,5000,-1.697126,0.095200158,-0.89633,0.042815898,0.00211821,0.000126349,0.000881508,7.04E-05,,,,,,,,,,,,,,,,,,
2.075,5000,-1.691737,0.091093457,-0.891979,0.043601474,0.001932565,0.000149534,0.000911208,5.81E-05,,,,,,,,,,,,,,,,,,
2.077,5000,-1.68296,0.084331361,0.887076,0.042138109,0.001649613,0.000142434,0.00084981,5.81E-05,,,,,,,,,,,,,,,,,,
2.079,5000,-1.692756,0.099696863,0.891157,0.048958108,0.002274582,0.000147467,0.00115862,7.14E-05,,,,,,,,,,,,,,,,,,
2.081,5000,-1.679365,0.093045536,-0.888724,0.04371169,0.001990751,0.000118048,0.000914354,8.75E-05,,,,,,,,,,,,,,,,,,
2.083,5000,-1.672173,0.093502637,0.878522,0.05154353,0.00199721,0.000113408,0.00127251,7.02E-05,,,,,,,,,,,,,,,,,,
2.085,5000,-1.669092,0.097241943,-0.878371,0.052627097,0.002164895,0.000142239,0.001312207,0.000133415,,,,,,,,,,,,,,,,,,
2.087,5000,-1.636327,0.108694867,0.854071,0.075056392,0.002719465,0.000211724,0.00269709,0.000196289,,,,,,,,,,,,,,,,,,
2.089,5000,-1.655336,0.099367988,-0.871669,0.057605898,0.002254332,0.000131721,0.001592934,0.000145672,,,,,,,,,,,,,,,,,,
2.091,5000,-1.667428,0.100986261,0.875456,0.054081624,0.002326384,0.000138601,0.001399263,8.34E-05,,,,,,,,,,,,,,,,,,
2.093,5000,-1.640093,0.119673123,0.858579,0.078802701,0.003275931,0.000217329,0.003001535,0.000418554,,,,,,,,,,,,,,,,,,
2.095,5000,-1.66817,0.093579918,0.879617,0.047447321,0.002010834,0.000109093,0.001073877,4.82E-05,,,,,,,,,,,,,,,,,,
2.097,5000,-1.666502,0.08488041,0.881565,0.038379236,0.0016444,0.000121151,0.000706201,3.68E-05,,,,,,,,,,,,,,,,,,
2.099,5000,-1.677189,0.105549104,-0.886002,0.049633618,0.002535814,9.38E-05,0.001159115,5.48E-05,,,,,,,,,,,,,,,,,,
2.101,5000,-1.659617,0.101342086,0.872345,0.05325576,0.002341324,0.000183716,0.00135254,7.88E-05,,,,,,,,,,,,,,,,,,
2.103,5000,-1.65505,0.102392077,0.868478,0.059413496,0.002374445,0.000106542,0.001655983,0.000125746,,,,,,,,,,,,,,,,,,
2.105,5000,-1.667558,0.090599485,-0.883817,0.042980059,0.001857227,0.000134909,0.000887949,5.93E-05,,,,,,,,,,,,,,,,,,
2.107,5000,-1.665765,0.106122758,-0.876612,0.058099066,0.002515286,0.000106513,0.00158669,6.73E-05,,,,,,,,,,,,,,,,,,
2.109,5000,-1.627889,0.11488733,0.85667,0.063627597,0.002965307,0.000158249,0.001921158,0.000175649,,,,,,,,,,,,,,,,,,
2.111,5000,-1.642976,0.101503564,0.867906,0.054440841,0.002302219,0.000142513,0.001389313,6.23E-05,,,,,,,,,,,,,,,,,,
2.113,5000,-1.624213,0.106349074,-0.850338,0.067019518,0.002494261,0.000153759,0.002103887,0.00022981,,,,,,,,,,,,,,,,,,
2.115,5000,-1.664095,0.095380428,0.87648,0.056155762,0.002030891,0.000130513,0.001487692,0.000149242,,,,,,,,,,,,,,,,,,
2.117,5000,-1.647625,0.11668965,0.866124,0.07357008,0.003014329,0.000152642,0.002573605,0.000333993,,,,,,,,,,,,,,,,,,
2.119,5000,-1.604017,0.110156565,0.832212,0.084933133,0.002714427,0.000204333,0.003378548,0.00024688,,,,,,,,,,,,,,,,,,
2.121,5000,-1.626556,0.096056748,0.855662,0.052989449,0.002032375,0.000147071,0.001316821,6.69E-05,,,,,,,,,,,,,,,,,,
2.123,5000,-1.616455,0.119223982,-0.845661,0.072628769,0.003158839,0.000103249,0.002476196,0.000130269,,,,,,,,,,,,,,,,,,
2.125,5000,-1.638362,0.098613827,0.863594,0.05799632,0.002134259,9.65E-05,0.001574778,0.000189931,,,,,,,,,,,,,,,,,,
2.127,5000,-1.637137,0.098940175,-0.867605,0.049791656,0.00214601,0.000145787,0.001154492,5.64E-05,,,,,,,,,,,,,,,,,,
2.129,5000,-1.652119,0.099714316,0.874816,0.049591089,0.002181407,8.93E-05,0.001152851,8.02E-05,,,,,,,,,,,,,,,,,,
2.131,5000,-1.618059,0.116368542,0.852684,0.07887925,0.002966729,0.00019634,0.002853135,0.000292283,,,,,,,,,,,,,,,,,,
2.133,5000,-1.588088,0.106085127,-0.827787,0.070818978,0.002447364,0.000144126,0.002342724,0.000176439,,,,,,,,,,,,,,,,,,
2.135,5000,-1.611513,0.107420044,-0.84586,0.067017538,0.002495055,0.000136265,0.002093561,0.00014197,,,,,,,,,,,,,,,,,,
2.137,5000,-1.635785,0.102161582,0.868622,0.049438053,0.002290675,0.000118167,0.001149791,6.61E-05,,,,,,,,,,,,,,,,,,
2.139,5000,-1.617749,0.105423897,0.854178,0.058795275,0.002431136,9.40E-05,0.001620992,6.53E-05,,,,,,,,,,,,,,,,,,
2.141,5000,-1.593718,0.123215853,0.821502,0.091143919,0.00332203,0.000126163,0.003892777,0.000182381,,,,,,,,,,,,,,,,,,
2.143,5000,-1.610885,0.123159578,0.842406,0.081314581,0.003266681,0.000188309,0.003085447,0.000250951,,,,,,,,,,,,,,,,,,
2.145,5000,-1.584376,0.12169762,-0.81972,0.083522881,0.00324284,9.87E-05,0.00321558,0.000292543,,,,,,,,,,,,,,,,,,
