N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.269,TRUE,0.2,0.002,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,,,,,,,,
1.2,100,7.89E-08,-1.36E-05,-1.62E-05,-1.83E-05,-1.86E-05,-1.58E-05,-1.87E-05,-1.62E-05,-1.85E-05,7.28E-05,3.65E-05,2.40E-05,3.46E-05,3.55E-05,3.71E-05,3.56E-05,4.05E-05,3.56E-05,,,,,,,,
1.21,100,-7.43E-06,-1.49E-05,-1.57E-05,-1.53E-05,-1.51E-05,-1.53E-05,-1.57E-05,-1.52E-05,-1.55E-05,4.84E-05,2.08E-05,2.06E-05,2.01E-05,2.10E-05,2.09E-05,2.16E-05,2.09E-05,2.04E-05,,,,,,,,
1.22,100,-6.71E-06,-2.00E-05,-2.01E-05,-2.03E-05,-1.97E-05,-1.95E-05,-2.03E-05,-2.04E-05,-1.78E-05,5.74E-05,3.02E-05,3.01E-05,2.99E-05,2.91E-05,2.93E-05,3.12E-05,3.11E-05,3.65E-05,,,,,,,,
1.23,100,2.18E-06,-1.85E-05,-2.06E-05,-2.10E-05,-2.14E-05,-1.91E-05,-2.10E-05,-2.14E-05,-1.79E-05,6.43E-05,2.87E-05,3.17E-05,3.18E-05,3.25E-05,3.82E-05,3.25E-05,3.23E-05,3.61E-05,,,,,,,,
1.24,100,-7.39E-06,-2.07E-05,-1.99E-05,-2.03E-05,-1.73E-05,-1.81E-05,-2.06E-05,-2.04E-05,-2.03E-05,4.32E-05,2.97E-05,3.02E-05,3.01E-05,2.77E-05,3.49E-05,3.02E-05,3.14E-05,3.00E-05,,,,,,,,
1.25,100,-1.97E-06,-2.32E-05,-2.01E-05,-2.29E-05,-2.25E-05,-1.70E-05,-2.30E-05,-2.16E-05,-1.97E-05,6.31E-05,3.16E-05,3.63E-05,3.18E-05,3.17E-05,3.75E-05,3.19E-05,3.11E-05,3.69E-05,,,,,,,,
1.26,100,-8.58E-06,-2.02E-05,-2.28E-05,-2.23E-05,-2.32E-05,-2.31E-05,-1.75E-05,-2.28E-05,-2.23E-05,5.47E-05,3.58E-05,3.13E-05,3.08E-05,3.25E-05,3.17E-05,3.73E-05,3.13E-05,3.15E-05,,,,,,,,
1.27,100,1.29E-05,-2.24E-05,-2.31E-05,-2.32E-05,-2.21E-05,-2.36E-05,-2.32E-05,-2.03E-05,-2.32E-05,7.71E-05,3.51E-05,3.60E-05,3.53E-05,3.35E-05,3.66E-05,3.64E-05,4.10E-05,3.64E-05,,,,,,,,
1.28,100,-5.17E-06,-2.86E-05,-2.56E-05,-2.58E-05,-2.75E-05,-2.93E-05,-2.91E-05,-2.85E-05,-2.79E-05,6.51E-05,3.35E-05,3.39E-05,3.77E-05,3.20E-05,3.38E-05,3.39E-05,3.15E-05,3.30E-05,,,,,,,,
1.29,100,-3.64E-06,-1.98E-05,-2.54E-05,-2.39E-05,-2.43E-05,-2.40E-05,-2.44E-05,-2.42E-05,-2.44E-05,7.61E-05,2.81E-05,3.84E-05,3.67E-05,3.65E-05,3.61E-05,3.50E-05,3.60E-05,3.62E-05,,,,,,,,
1.3,100,-7.70E-06,-2.28E-05,-2.10E-05,-2.34E-05,-2.39E-05,-2.31E-05,-2.38E-05,-2.06E-05,-2.39E-05,5.34E-05,3.21E-05,3.16E-05,3.21E-05,3.27E-05,3.17E-05,3.32E-05,3.67E-05,3.23E-05,,,,,,,,
1.31,100,-2.04E-06,-2.72E-05,-3.14E-05,-2.55E-05,-3.10E-05,-2.77E-05,-2.84E-05,-3.11E-05,-2.88E-05,7.21E-05,4.39E-05,4.01E-05,4.85E-05,3.90E-05,4.50E-05,4.28E-05,3.91E-05,3.46E-05,,,,,,,,
1.32,100,5.61E-06,-3.41E-05,-3.12E-05,-2.93E-05,-3.44E-05,-3.33E-05,-3.45E-05,-3.35E-05,-3.40E-05,0.000107778,4.25E-05,4.72E-05,5.20E-05,4.47E-05,4.38E-05,4.28E-05,4.21E-05,4.41E-05,,,,,,,,
1.33,100,-1.19E-05,-2.30E-05,-2.72E-05,-2.72E-05,-2.72E-05,-2.38E-05,-2.18E-05,-2.43E-05,-2.77E-05,6.36E-05,3.78E-05,3.82E-05,3.83E-05,3.67E-05,3.69E-05,3.52E-05,3.96E-05,3.87E-05,,,,,,,,
1.34,100,-4.68E-06,-3.43E-05,-3.63E-05,-3.30E-05,-3.72E-05,-3.97E-05,-3.93E-05,-4.02E-05,-3.97E-05,7.44E-05,4.95E-05,4.51E-05,4.95E-05,4.59E-05,4.37E-05,4.35E-05,4.47E-05,4.42E-05,,,,,,,,
1.35,100,-1.52E-05,-3.38E-05,-3.41E-05,-3.17E-05,-3.41E-05,-3.09E-05,-3.04E-05,-3.37E-05,-3.21E-05,5.54E-05,3.55E-05,3.47E-05,3.54E-05,3.48E-05,4.02E-05,3.88E-05,3.57E-05,4.15E-05,,,,,,,,
1.36,100,2.92E-06,-3.75E-05,-3.96E-05,-3.77E-05,-4.08E-05,-4.09E-05,-3.84E-05,-4.01E-05,-3.62E-05,9.44E-05,3.94E-05,4.34E-05,5.06E-05,4.72E-05,4.62E-05,3.97E-05,4.38E-05,4.02E-05,,,,,,,,
1.37,100,-3.41E-06,-3.95E-05,-4.12E-05,-4.25E-05,-3.91E-05,-4.24E-05,-4.29E-05,-4.21E-05,-3.99E-05,9.73E-05,5.10E-05,4.45E-05,4.52E-05,4.50E-05,4.49E-05,4.76E-05,4.49E-05,4.84E-05,,,,,,,,
1.38,100,-6.41E-06,-4.97E-05,-4.46E-05,-4.51E-05,-5.01E-05,-5.00E-05,-4.89E-05,-4.26E-05,-4.11E-05,8.68E-05,5.11E-05,4.78E-05,5.23E-05,5.17E-05,5.21E-05,4.93E-05,5.54E-05,5.73E-05,,,,,,,,
1.39,100,-4.47E-07,-4.61E-05,-4.69E-05,-4.39E-05,-4.26E-05,-3.98E-05,-4.31E-05,-4.94E-05,-4.93E-05,9.29E-05,4.48E-05,4.44E-05,5.28E-05,5.53E-05,5.51E-05,5.44E-05,4.60E-05,4.62E-05,,,,,,,,
1.4,100,1.16E-05,-4.20E-05,-4.90E-05,-4.78E-05,-4.89E-05,-4.39E-05,-4.88E-05,-4.49E-05,-4.44E-05,0.000175233,6.06E-05,6.64E-05,7.25E-05,7.34E-05,6.12E-05,5.49E-05,7.07E-05,6.24E-05,,,,,,,,
1.41,100,1.57E-05,-4.42E-05,-4.99E-05,-4.74E-05,-4.95E-05,-5.03E-05,-4.46E-05,-5.08E-05,-4.76E-05,9.81E-05,4.69E-05,4.73E-05,5.08E-05,4.81E-05,4.89E-05,5.71E-05,4.92E-05,4.88E-05,,,,,,,,
1.42,100,3.83E-05,-3.49E-05,-5.43E-05,-5.25E-05,-5.51E-05,-5.43E-05,-5.04E-05,-5.45E-05,-5.20E-05,0.00021255,4.87E-05,6.71E-05,6.64E-05,6.63E-05,6.70E-05,6.35E-05,6.39E-05,7.09E-05,,,,,,,,
1.43,100,-2.62E-06,-4.26E-05,-4.75E-05,-4.42E-05,-5.29E-05,-4.99E-05,-4.66E-05,-4.71E-05,-4.93E-05,0.000114056,5.81E-05,5.42E-05,6.25E-05,5.48E-05,5.47E-05,5.43E-05,5.83E-05,5.71E-05,,,,,,,,
1.44,100,9.61E-07,-6.13E-05,-6.38E-05,-6.31E-05,-4.98E-05,-5.29E-05,-5.27E-05,-5.50E-05,-5.93E-05,9.59E-05,6.42E-05,6.35E-05,6.58E-05,6.91E-05,6.76E-05,6.64E-05,6.69E-05,5.11E-05,,,,,,,,
1.45,100,3.26E-05,-6.12E-05,-7.26E-05,-7.04E-05,-7.93E-05,-6.81E-05,-7.69E-05,-7.93E-05,-7.12E-05,0.000153339,8.60E-05,6.97E-05,7.09E-05,6.90E-05,7.38E-05,7.29E-05,7.04E-05,7.35E-05,,,,,,,,
1.46,100,1.97E-05,-6.43E-05,-5.91E-05,-6.04E-05,-5.71E-05,-6.89E-05,-6.96E-05,-6.37E-05,-7.14E-05,0.000137312,6.39E-05,6.71E-05,5.87E-05,6.26E-05,6.10E-05,5.80E-05,6.62E-05,5.69E-05,,,,,,,,
1.47,100,4.46E-06,-5.73E-05,-4.90E-05,-5.41E-05,-5.98E-05,-5.71E-05,-6.25E-05,-5.99E-05,-6.01E-05,0.00010858,5.80E-05,6.21E-05,5.35E-05,5.25E-05,6.05E-05,5.39E-05,5.39E-05,5.32E-05,,,,,,,,
1.48,100,2.97E-05,-7.20E-05,-8.94E-05,-8.19E-05,-7.68E-05,-8.87E-05,-8.41E-05,-7.19E-05,-7.68E-05,0.000188072,8.81E-05,9.54E-05,0.000104927,9.60E-05,8.34E-05,9.16E-05,8.55E-05,7.72E-05,,,,,,,,
1.49,100,9.08E-07,-7.57E-05,-7.16E-05,-8.05E-05,-7.71E-05,-6.49E-05,-6.82E-05,-7.53E-05,-7.57E-05,0.000147999,6.19E-05,8.12E-05,6.77E-05,6.75E-05,7.70E-05,7.13E-05,6.51E-05,7.17E-05,,,,,,,,
1.5,100,3.42E-05,-6.66E-05,-8.59E-05,-8.83E-05,-8.54E-05,-7.95E-05,-8.61E-05,-8.34E-05,-8.99E-05,0.000214099,8.11E-05,7.61E-05,7.81E-05,8.49E-05,8.50E-05,8.33E-05,9.72E-05,7.60E-05,,,,,,,,
1.51,100,3.56E-05,-8.40E-05,-8.38E-05,-9.25E-05,-9.48E-05,-9.01E-05,-9.55E-05,-8.57E-05,-9.46E-05,0.00016948,8.51E-05,8.73E-05,8.69E-05,8.39E-05,8.34E-05,7.96E-05,7.54E-05,8.80E-05,,,,,,,,
1.52,100,5.75E-05,-6.73E-05,-8.94E-05,-9.45E-05,-9.57E-05,-9.32E-05,-8.62E-05,-9.00E-05,-9.50E-05,0.000330342,0.000138429,9.24E-05,0.000124578,0.000137359,0.000131583,0.000130075,0.000140627,0.000149679,,,,,,,,
1.53,100,2.62E-05,-8.33E-05,-8.66E-05,-8.79E-05,-9.51E-05,-9.47E-05,-9.08E-05,-9.49E-05,-9.46E-05,0.000172745,7.73E-05,7.68E-05,8.73E-05,7.82E-05,7.57E-05,8.00E-05,7.77E-05,7.27E-05,,,,,,,,
1.54,100,4.09E-05,-9.45E-05,-9.65E-05,-9.45E-05,-9.37E-05,-8.99E-05,-8.28E-05,-8.62E-05,-8.92E-05,0.000178927,8.55E-05,9.43E-05,9.13E-05,8.70E-05,8.49E-05,8.39E-05,9.18E-05,7.86E-05,,,,,,,,
1.55,100,7.01E-05,-8.31E-05,-9.60E-05,-9.72E-05,-0.000104553,-0.000101526,-0.000111658,-0.000109816,-0.000107711,0.000267074,8.57E-05,0.000109591,0.000101781,8.76E-05,0.000103746,0.000106321,0.000105397,9.94E-05,,,,,,,,
1.56,100,7.07E-05,-7.50E-05,-9.17E-05,-9.29E-05,-9.50E-05,-9.91E-05,-0.000102737,-0.000103789,-9.44E-05,0.000280071,9.21E-05,0.000103409,0.000107824,0.000103888,0.000114303,0.000105488,0.00011219,0.000120348,,,,,,,,
1.57,100,0.000173263,-0.000105289,-0.000132526,-0.000144237,-0.000137789,-0.000132921,-0.000151868,-0.000151868,-0.000141737,0.000436512,0.000134572,0.000142143,0.00015373,0.000165304,0.000176137,0.000183392,0.000154036,0.000151716,,,,,,,,
1.58,100,6.46E-05,-7.64E-05,-0.000112368,-0.000114474,-0.000102105,-0.000112632,-0.000101974,-9.41E-05,-9.64E-05,0.000246038,0.00010805,0.000107052,0.000100214,0.000107691,0.000115349,0.000109966,0.000115488,0.000114289,,,,,,,,
1.59,100,5.94E-05,-8.56E-05,-0.000109171,-0.000120224,-0.000112724,-0.000107329,-0.000119961,-0.000117329,-0.000119961,0.000258902,9.52E-05,9.60E-05,9.54E-05,0.000109752,0.000110401,0.000105928,0.000106643,0.000105259,,,,,,,,
1.6,100,0.000112974,-8.06E-05,-0.000113342,-0.000120974,-0.0001265,-0.000132289,-0.0001265,-0.000123342,-0.000123737,0.000294698,0.000108441,0.000116712,0.000129001,0.000134011,0.000118743,0.000123684,0.000117598,0.000137078,,,,,,,,
1.61,100,7.87E-05,-0.000110895,-0.000118132,-0.000142868,-0.000122342,-0.0001355,-0.000131947,-0.000133658,-0.000138789,0.00030508,0.000100858,0.000111766,0.000159232,0.000113419,0.000126526,0.000132453,0.000133366,0.000165305,,,,,,,,
1.62,100,8.32E-05,-0.000122474,-0.000124184,-0.000138395,-0.000131289,-0.000126158,-0.000135895,-0.000123132,-0.000136289,0.000271304,9.71E-05,9.59E-05,0.000109956,0.000115708,0.000130944,0.000116523,0.000109002,0.000102712,,,,,,,,
1.63,100,0.000130671,-0.000117618,-0.000125776,-0.000123934,-0.000141961,-0.000138671,-0.00013525,-0.00014775,-0.000148408,0.000314762,0.000106823,0.000109537,0.000123608,0.000128098,0.000119348,0.000132458,0.000146252,0.000127738,,,,,,,,
1.64,100,0.000120961,-0.000114829,-0.000139566,-0.000146408,-0.000164434,-0.000163118,-0.000159434,-0.000146276,-0.000164303,0.000297781,0.000146338,0.000126057,0.000134629,0.000125594,0.000131539,0.00013759,0.000141702,0.000145009,,,,,,,,
1.65,100,0.000174053,-9.82E-05,-0.0001545,-0.000156737,-0.000168579,-0.000149105,-0.000160684,-0.000147921,-0.000159763,0.000309567,0.000159253,0.000131787,0.000132203,0.000130983,0.000156181,0.000138834,0.000134073,0.000124444,,,,,,,,
1.66,100,9.57E-05,-0.000120987,-0.000140329,-0.000165592,-0.000152434,-0.000150724,-0.000151118,-0.000147303,-0.000167303,0.000284006,0.000124657,0.00015972,0.000176605,0.000145017,0.000140543,0.000150566,0.000153761,0.000163851,,,,,,,,
1.67,100,0.000156829,-0.000122908,-0.000162776,-0.000171987,-0.00018225,-0.000170013,-0.000166724,-0.000181329,-0.000187513,0.000379459,0.000137867,0.000118641,0.000170892,0.000189389,0.000181604,0.000179885,0.000153045,0.000186125,,,,,,,,
1.68,100,0.000195645,-0.000121592,-0.000153434,-0.000178303,-0.000181329,-0.000170539,-0.000158566,-0.000168566,-0.000171592,0.000496889,0.000129768,0.000135245,0.00016412,0.000166249,0.000173057,0.000170119,0.000174854,0.000181896,,,,,,,,
1.69,100,0.000180513,-0.000156197,-0.000191724,-0.000172513,-0.000194092,-0.000202645,-0.000191987,-0.000186066,-0.000178829,0.000364428,0.000122578,0.000159909,0.000165387,0.000157845,0.000163807,0.00016283,0.000150965,0.000156737,,,,,,,,
1.7,100,0.000134237,-0.000131816,-0.000184842,-0.000189184,-0.000186684,-0.000148,-0.000187474,-0.000187474,-0.000177868,0.000304093,0.000143162,0.000149634,0.000144141,0.000139251,0.000147761,0.00013249,0.000137527,0.000148945,,,,,,,,
1.71,100,0.000214882,-0.000146566,-0.000168408,-0.000201697,-0.000195776,-0.000209987,-0.000205776,-0.000222882,-0.000213408,0.000432654,0.000148048,0.000131422,0.000151705,0.000143872,0.000164711,0.000156689,0.000183892,0.000182123,,,,,,,,
1.72,100,0.000189829,-0.000125171,-0.000184118,-0.000191355,-0.000217408,-0.000176882,-0.000202539,-0.000198987,-0.000183724,0.000366968,0.000205639,0.000150946,0.000178073,0.000190534,0.000185894,0.000170266,0.000164478,0.000181878,,,,,,,,
1.73,100,0.0001925,-0.000145263,-0.000193421,-0.000205658,-0.000214868,-0.000214605,-0.000216974,-0.000201053,-0.000186842,0.000510223,0.000164969,0.000177245,0.000183088,0.000190736,0.000199669,0.00020497,0.000184743,0.000224832,,,,,,,,
1.74,100,0.000297605,-0.000157263,-0.0002345,-0.000236868,-0.000234895,-0.000249368,-0.000247658,-0.000231211,-0.000239763,0.000567752,0.000173999,0.00019161,0.00018667,0.000204422,0.000216812,0.000227653,0.000233946,0.000215272,,,,,,,,
1.75,100,0.000244895,-0.000137868,-0.000199316,-0.000205632,-0.000204053,-0.000229184,-0.000215763,-0.000223132,-0.000238921,0.000528628,0.000209699,0.000159253,0.000152323,0.000204643,0.000218685,0.000217863,0.000276691,0.000261772,,,,,,,,
1.76,100,0.000220921,-0.000156711,-0.000188947,-0.000216842,-0.000236842,-0.000249342,-0.000217895,-0.000234868,-0.000222763,0.000426035,0.00016891,0.000133589,0.000171751,0.000168745,0.000161545,0.000173149,0.000175445,0.000187531,,,,,,,,
1.77,100,0.000355566,-0.000180882,-0.000256539,-0.00030075,-0.000279566,-0.000287461,-0.000269039,-0.000258513,-0.000276013,0.00063256,0.000203247,0.000227829,0.000285174,0.000276561,0.000269478,0.000245509,0.000244084,0.000274626,,,,,,,,
1.78,100,0.000314118,-0.000172855,-0.000236276,-0.000274829,-0.000242987,-0.00028575,-0.000306671,-0.000278513,-0.000290092,0.000536574,0.000207401,0.000182288,0.000198063,0.000208001,0.000231312,0.000251188,0.000221578,0.000208684,,,,,,,,
1.79,100,0.000443197,-7.43E-05,-0.000251408,-0.000302066,-0.000292066,-0.000301539,-0.000314171,-0.00030075,-0.000299697,0.000789498,0.000302312,0.000220739,0.000330268,0.000317091,0.000292321,0.000306361,0.000275398,0.000261908,,,,,,,,
1.8,100,0.000608645,-0.000139645,-0.000289776,-0.000345039,-0.000377803,-0.00037425,-0.000408855,-0.000385039,-0.000397671,0.000869081,0.000315642,0.000245084,0.000307954,0.000310731,0.000361523,0.0003251,0.000321213,0.000340709,,,,,,,,
1.81,100,0.000478553,-0.000136447,-0.000265132,-0.000281974,-0.000319868,-0.000316184,-0.000305789,-0.000336053,-0.000339079,0.000752834,0.000300305,0.00019102,0.000251564,0.000260627,0.000297081,0.00029227,0.000292683,0.00027724,,,,,,,,
1.82,100,0.000453763,-0.000162816,-0.0002965,-0.000360579,-0.000339263,-0.000337289,-0.000333868,-0.000319395,-0.000295184,0.000688873,0.000274477,0.000239703,0.000291181,0.000324945,0.000323569,0.000265457,0.000301665,0.000242767,,,,,,,,
1.83,100,0.000602947,-9.11E-05,-0.000281132,-0.000365211,-0.000371526,-0.000395605,-0.000375737,-0.000405079,-0.000400737,0.001214743,0.000522789,0.000253723,0.000359436,0.000468492,0.000492283,0.000491682,0.000488996,0.000475189,,,,,,,,
1.84,100,0.000477816,-0.000142053,-0.000329158,-0.000325868,-0.000299553,-0.000295211,-0.000312579,-0.000312579,-0.000338368,0.000737139,0.000276415,0.000279003,0.000295071,0.00028259,0.000250056,0.000289472,0.000267594,0.000296777,,,,,,,,
1.85,100,0.000459526,-0.000173368,-0.000324816,-0.000351263,-0.000331526,-0.000329947,-0.000378368,-0.000338368,-0.0003335,0.000690291,0.00025237,0.000243645,0.000256861,0.000257147,0.000300382,0.000285952,0.000315665,0.000277153,,,,,,,,
