N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.01,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
1.2,50000,-1.988007939,0.003212197,0.996874763,0.000868343,7.16E-06,3.38E-07,6.27E-07,2.83E-08,,,,,,,,,,,,,,
1.21,50000,-1.929665032,0.003898437,-0.123809896,0.045832309,1.04E-05,4.31E-07,0.001731684,7.02E-05,,,,,,,,,,,,,,
1.22,50000,-1.928369896,0.003976763,0.054903468,0.055965362,1.06E-05,4.88E-07,0.002566827,0.000106939,,,,,,,,,,,,,,
1.23,50000,-1.985695724,0.003545722,0.996253238,0.000965594,8.30E-06,3.92E-07,7.56E-07,2.87E-08,,,,,,,,,,,,,,
1.24,50000,-1.98497998,0.003667491,-0.996065642,0.000995968,8.74E-06,4.42E-07,8.00E-07,3.91E-08,,,,,,,,,,,,,,
1.25,50000,-1.984109844,0.003742047,0.99582699,0.001023509,8.95E-06,3.75E-07,8.37E-07,4.74E-08,,,,,,,,,,,,,,
1.26,50000,-1.924039454,0.004375797,-0.099320116,0.053388821,1.20E-05,4.70E-07,0.00225762,6.22E-05,,,,,,,,,,,,,,
1.27,50000,-1.923083758,0.004571775,0.319819648,0.060545326,1.29E-05,5.37E-07,0.002882565,0.000110362,,,,,,,,,,,,,,
1.28,50000,-1.921522494,0.004590409,0.030462956,0.025572495,1.29E-05,6.04E-07,0.000510358,1.85E-05,,,,,,,,,,,,,,
1.29,50000,-1.980113584,0.00416365,-0.994735606,0.001158862,1.04E-05,5.03E-07,1.04E-06,5.40E-08,,,,,,,,,,,,,,
1.3,50000,-1.919113669,0.004842235,0.276865568,0.027421743,1.39E-05,6.09E-07,0.000577921,2.38E-05,,,,,,,,,,,,,,
1.31,50000,-1.977848914,0.004376784,0.99412103,0.001218742,1.11E-05,4.91E-07,1.13E-06,5.91E-08,,,,,,,,,,,,,,
1.32,50000,-1.976851098,0.004453801,0.993845142,0.001245408,1.14E-05,4.20E-07,1.17E-06,5.30E-08,,,,,,,,,,,,,,
1.33,50000,-1.915377853,0.005103878,0.03823434,0.046694481,1.47E-05,6.51E-07,0.001637254,5.36E-05,,,,,,,,,,,,,,
1.34,50000,-1.974280538,0.004869336,-0.993132382,0.001379564,1.32E-05,5.66E-07,1.42E-06,6.52E-08,,,,,,,,,,,,,,
1.35,50000,-1.973256298,0.004868118,0.992849514,0.001381542,1.30E-05,5.92E-07,1.41E-06,6.28E-08,,,,,,,,,,,,,,
1.36,50000,-1.971719818,0.005028729,-0.992410998,0.00143403,1.36E-05,6.46E-07,1.51E-06,6.95E-08,,,,,,,,,,,,,,
1.37,50000,-1.908956361,0.005656889,0.203678748,0.068367822,1.70E-05,8.53E-07,0.003406255,0.00010867,,,,,,,,,,,,,,
1.38,50000,-1.96882013,0.005215586,0.99161847,0.001485594,1.43E-05,5.60E-07,1.59E-06,7.40E-08,,,,,,,,,,,,,,
1.39,50000,-1.967493681,0.005306327,0.99124141,0.001530838,1.45E-05,5.01E-07,1.68E-06,7.15E-08,,,,,,,,,,,,,,
1.4,50000,-1.966019817,0.005529151,0.990830887,0.001587118,1.56E-05,7.56E-07,1.80E-06,6.99E-08,,,,,,,,,,,,,,
