N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,,,,,,,,,,,,,,,,,,
1.2,10000,-1.98944901,0.014697144,-0.997258503,0.003952423,0.000148339,9.56E-06,1.29E-05,1.08E-06,,,,,,,,,,,,,,
1.21,10000,-1.98819301,0.015906111,-0.996904503,0.004287814,0.000175008,5.42E-06,1.52E-05,7.00E-07,,,,,,,,,,,,,,
1.22,10000,-1.987912011,0.015270228,-0.996847003,0.004118077,0.000156313,1.07E-05,1.40E-05,6.32E-07,,,,,,,,,,,,,,
1.23,10000,-1.985937012,0.017490616,0.996302504,0.004852932,0.000202126,1.59E-05,1.92E-05,1.51E-06,,,,,,,,,,,,,,
1.24,10000,-1.985108012,0.018249055,-0.996081504,0.004957601,0.000215373,1.32E-05,1.98E-05,8.80E-07,,,,,,,,,,,,,,
1.25,10000,-1.984748013,0.018142659,0.995955004,0.005062897,0.000212468,9.45E-06,2.04E-05,1.55E-06,,,,,,,,,,,,,,
1.26,10000,-1.984139013,0.019374166,0.995791004,0.005417035,0.000235915,1.55E-05,2.34E-05,2.17E-06,,,,,,,,,,,,,,
1.27,10000,-1.982573014,0.019380642,0.995406504,0.005309633,0.000229798,1.36E-05,2.22E-05,1.19E-06,,,,,,,,,,,,,,
1.28,10000,-1.981739015,0.02011779,-0.995184505,0.005516648,0.000246476,1.07E-05,2.36E-05,1.43E-06,,,,,,,,,,,,,,
1.29,10000,-1.977918016,0.022241963,-0.994118006,0.006180373,0.000299391,2.10E-05,2.92E-05,2.32E-06,,,,,,,,,,,,,,
1.3,10000,-1.979434015,0.021401852,0.994553505,0.005915494,0.000270098,1.74E-05,2.68E-05,1.76E-06,,,,,,,,,,,,,,
1.31,10000,-1.978258016,0.022277906,0.994126505,0.006496879,0.000288735,2.02E-05,3.25E-05,3.72E-06,,,,,,,,,,,,,,
1.32,10000,-1.979905016,0.020358796,-0.994753505,0.005471442,0.000240927,1.18E-05,2.24E-05,1.52E-06,,,,,,,,,,,,,,
1.33,10000,-1.976776016,0.022615162,0.993869506,0.006214049,0.000289856,1.36E-05,2.91E-05,1.55E-06,,,,,,,,,,,,,,
