N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp,,,,,,
30,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14
1.2,100,-5.89E-07,-8.41E-06,-8.18E-06,-6.72E-06,-8.23E-06,-8.30E-06,-6.90E-06,-8.07E-06,-7.49E-06,-6.77E-06,-6.72E-06,-8.12E-06,-7.38E-06,-8.05E-06,1.89E-05,8.89E-06,8.79E-06,1.23E-05,8.74E-06,8.91E-06,9.63E-06,8.41E-06,9.65E-06,1.12E-05,1.43E-05,8.67E-06,9.58E-06,8.70E-06
1.21,100,2.23E-07,-6.14E-06,-8.36E-06,-8.21E-06,-7.54E-06,-8.36E-06,-8.49E-06,-8.38E-06,-7.75E-06,-8.36E-06,-8.26E-06,-7.59E-06,-8.36E-06,-8.36E-06,3.69E-05,1.09E-05,8.92E-06,8.67E-06,1.07E-05,9.20E-06,9.45E-06,9.08E-06,1.09E-05,9.22E-06,9.18E-06,1.08E-05,9.18E-06,9.23E-06
1.22,100,-2.49E-06,-8.59E-06,-7.80E-06,-8.59E-06,-7.72E-06,-7.47E-06,-7.67E-06,-7.01E-06,-8.54E-06,-7.88E-06,-8.62E-06,-6.91E-06,-8.39E-06,-8.52E-06,2.44E-05,8.23E-06,1.06E-05,8.11E-06,9.81E-06,9.33E-06,1.04E-05,1.23E-05,8.22E-06,1.04E-05,8.23E-06,1.15E-05,8.05E-06,8.19E-06
1.23,100,7.63E-06,-1.06E-05,-8.44E-06,-9.79E-06,-1.14E-05,-1.15E-05,-1.04E-05,-9.76E-06,-1.04E-05,-1.07E-05,-1.09E-05,-1.06E-05,-1.05E-05,-1.07E-05,4.35E-05,1.15E-05,1.65E-05,1.37E-05,1.21E-05,1.24E-05,1.34E-05,1.49E-05,1.28E-05,1.33E-05,1.43E-05,1.29E-05,1.24E-05,1.32E-05
1.24,100,3.47E-06,-9.66E-06,-1.05E-05,-1.04E-05,-9.66E-06,-1.04E-05,-1.05E-05,-9.46E-06,-1.02E-05,-9.56E-06,-1.03E-05,-1.06E-05,-8.95E-06,-9.74E-06,3.27E-05,9.10E-06,9.33E-06,8.97E-06,1.08E-05,9.06E-06,9.07E-06,1.06E-05,8.76E-06,1.15E-05,9.11E-06,9.30E-06,1.20E-05,1.14E-05
1.25,100,4.32E-06,-8.73E-06,-8.86E-06,-1.03E-05,-1.02E-05,-1.03E-05,-1.01E-05,-1.02E-05,-1.01E-05,-9.34E-06,-1.02E-05,-9.62E-06,-9.68E-06,-1.03E-05,3.44E-05,1.10E-05,1.36E-05,1.00E-05,1.02E-05,1.02E-05,9.87E-06,9.95E-06,9.93E-06,1.16E-05,1.00E-05,1.19E-05,1.25E-05,1.01E-05
1.26,100,3.68E-06,-1.16E-05,-7.04E-06,-1.14E-05,-1.23E-05,-1.24E-05,-1.16E-05,-1.21E-05,-1.10E-05,-1.17E-05,-1.24E-05,-1.24E-05,-9.96E-06,-1.23E-05,3.80E-05,1.18E-05,1.79E-05,1.21E-05,1.09E-05,1.15E-05,1.08E-05,1.04E-05,1.75E-05,1.11E-05,1.14E-05,1.11E-05,1.42E-05,1.13E-05
