N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
10,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,std_d1,std_d2,std_d3,std_d4,,,,,,,,,,,,,,
1.2,100,-3.56E-05,-8.00E-05,-8.44E-05,-8.22E-05,0.000211753,0.000209408,0.000220572,0.000221633,,,,,,,,,,,,,,
1.21,100,-3.91E-05,-5.24E-05,-5.24E-05,-5.69E-05,0.000162484,0.000162982,0.000162982,0.000192715,,,,,,,,,,,,,,
1.22,100,-7.82E-05,-0.000116,-0.000109333,-0.000122667,0.000217016,0.000281716,0.000277514,0.000310229,,,,,,,,,,,,,,
1.23,100,-3.24E-05,-3.02E-05,-3.24E-05,-3.24E-05,0.000125055,0.000113639,0.000125055,0.000120223,,,,,,,,,,,,,,
1.24,100,3.11E-05,-6.22E-05,-5.33E-05,-5.56E-05,0.000504185,0.000400049,0.000315336,0.000317607,,,,,,,,,,,,,,
1.25,100,-4.67E-05,-8.00E-05,-8.22E-05,-8.67E-05,0.000194073,0.000240082,0.000224202,0.000246126,,,,,,,,,,,,,,
1.26,100,-7.20E-05,-9.64E-05,-8.98E-05,-9.64E-05,0.000241295,0.000255473,0.000258847,0.000264589,,,,,,,,,,,,,,
1.27,100,-4.13E-05,-9.69E-05,-9.02E-05,-5.02E-05,0.000120616,0.00054565,0.000461472,0.000143005,,,,,,,,,,,,,,
1.28,100,-8.71E-05,-0.000107111,-0.000107111,-8.71E-05,0.000246249,0.000262116,0.000257938,0.000237262,,,,,,,,,,,,,,
1.29,100,-5.33E-05,-0.000111111,-9.56E-05,-0.000108889,0.000195252,0.0002545,0.000217585,0.000252151,,,,,,,,,,,,,,
1.3,100,-7.87E-05,-0.000109778,-0.000120889,-8.31E-05,0.000196749,0.000258883,0.00030978,0.0001861,,,,,,,,,,,,,,
1.31,100,-6.58E-05,-0.000108,-0.000108,-0.000112444,0.000304078,0.00025626,0.000270875,0.000273429,,,,,,,,,,,,,,
1.32,100,-3.56E-06,-0.000141333,-0.000114667,-0.000148,0.000571165,0.000402333,0.000412409,0.000425881,,,,,,,,,,,,,,
1.33,100,-6.13E-05,-0.000130222,-0.000123556,-0.000116889,0.000297664,0.000287776,0.000280147,0.000274669,,,,,,,,,,,,,,
1.34,100,-8.98E-05,-0.000114222,-0.000112,-9.64E-05,0.00020054,0.000233852,0.000231323,0.000244974,,,,,,,,,,,,,,
1.35,100,-6.40E-05,-0.000130667,-0.000135111,-9.96E-05,0.000362941,0.000325133,0.000316519,0.000316906,,,,,,,,,,,,,,
1.36,100,-0.000108889,-0.000197778,-0.000197778,-0.000177778,0.00035116,0.00039485,0.000384714,0.000330745,,,,,,,,,,,,,,
1.37,100,-7.38E-05,-0.000164889,-0.000138222,-0.000160444,0.000289894,0.000426958,0.000306563,0.000469132,,,,,,,,,,,,,,
1.38,100,-0.000108444,-0.000210667,-0.000217333,-0.000204,0.000317417,0.000349934,0.000376856,0.000352043,,,,,,,,,,,,,,
1.39,100,-0.000138667,-0.000225333,-0.000207556,-0.000227556,0.00042352,0.000395993,0.00043292,0.000377191,,,,,,,,,,,,,,
1.4,100,-8.58E-05,-0.000221333,-0.000230222,-0.000236889,0.000433202,0.000369129,0.000393145,0.000409085,,,,,,,,,,,,,,
1.41,100,-0.000112889,-0.000157333,-0.000208444,-0.000195111,0.000397296,0.000308011,0.000474149,0.000470015,,,,,,,,,,,,,,
1.42,100,-5.07E-05,-0.000252889,-0.000270667,-0.000248444,0.000415265,0.000526763,0.00058468,0.00055011,,,,,,,,,,,,,,
1.43,100,-9.07E-05,-0.000266222,-0.000281778,-0.000317333,0.000643721,0.000436167,0.000445653,0.000554328,,,,,,,,,,,,,,
1.44,100,-4.58E-05,-0.000325778,-0.000330222,-0.000319111,0.000496882,0.000528536,0.000522945,0.000506642,,,,,,,,,,,,,,
1.45,100,-0.000106667,-0.000213333,-0.000286667,-0.000273333,0.000752779,0.000357771,0.000605632,0.000707166,,,,,,,,,,,,,,
1.46,100,-1.64E-05,-0.000229778,-0.000236444,-0.000265333,0.000670968,0.000509119,0.000463796,0.000535014,,,,,,,,,,,,,,
1.47,100,-0.000113778,-0.000207111,-0.000220444,-0.000231556,0.000438102,0.00036678,0.000477066,0.000545647,,,,,,,,,,,,,,
1.48,100,9.64E-05,-0.000272444,-0.000316889,-0.000430222,0.001238638,0.000539287,0.000891079,0.00172239,,,,,,,,,,,,,,
1.49,100,-8.49E-05,-0.000213778,-0.000249333,-0.000213778,0.000397876,0.000403329,0.000567286,0.000450523,,,,,,,,,,,,,,
1.5,100,-0.000170222,-0.000234667,-0.000254667,-0.000272444,0.000377702,0.000448342,0.000367996,0.000395314,,,,,,,,,,,,,,
1.51,100,-0.000174222,-0.000225333,-0.000265333,-0.000258667,0.000371566,0.000443566,0.000453615,0.00039898,,,,,,,,,,,,,,
1.52,100,-7.42E-05,-0.000316444,-0.000354222,-0.000334222,0.000484793,0.00059,0.000632844,0.000591578,,,,,,,,,,,,,,
1.53,100,-0.000115111,-0.000286222,-0.000315111,-0.000344,0.000625297,0.000490556,0.000593765,0.00061679,,,,,,,,,,,,,,
1.54,100,-0.000111556,-0.000344889,-0.000360444,-0.000298222,0.000547749,0.000797803,0.000817002,0.000553803,,,,,,,,,,,,,,
1.55,100,-0.000168889,-0.000275556,-0.000282222,-0.000246667,0.000405006,0.000499758,0.000441339,0.000434164,,,,,,,,,,,,,,
1.56,100,-9.73E-05,-0.000386222,-0.000415111,-0.000390667,0.000559071,0.000549772,0.000610759,0.000568239,,,,,,,,,,,,,,
1.57,100,-0.000135556,-0.000331111,-0.000397778,-0.000357778,0.000520413,0.000546337,0.000631217,0.000654266,,,,,,,,,,,,,,
1.58,100,8.40E-05,-0.000500444,-0.000569333,-0.000596,0.001022239,0.000743635,0.000973317,0.001133605,,,,,,,,,,,,,,
1.59,100,-0.000141333,-0.000439111,-0.000494667,-0.000428,0.000853296,0.000617451,0.00077133,0.000802137,,,,,,,,,,,,,,
1.6,100,-0.000182667,-0.000351556,-0.000456,-0.000462667,0.000477686,0.000516287,0.000733525,0.000793233,,,,,,,,,,,,,,
1.61,100,7.29E-05,-0.000391556,-0.000584889,-0.000711555,0.002052194,0.000711797,0.00097492,0.002137999,,,,,,,,,,,,,,
1.62,100,-3.69E-05,-0.000463556,-0.000465778,-0.000530222,0.001073037,0.000605334,0.000750453,0.000782734,,,,,,,,,,,,,,
1.63,100,-0.000122222,-0.000437778,-0.000602222,-0.000584444,0.000917912,0.000623946,0.000787065,0.001001518,,,,,,,,,,,,,,
1.64,100,-7.64E-05,-0.000536444,-0.000594222,-0.000560889,0.001118378,0.000714333,0.00094297,0.000904524,,,,,,,,,,,,,,
1.65,100,-4.44E-06,-0.000684444,-0.000773333,-0.000575556,0.001326776,0.001063718,0.001367503,0.001012444,,,,,,,,,,,,,,
1.66,100,-0.000112444,-0.000632444,-0.000741333,-0.000696889,0.001446289,0.000739111,0.001486916,0.001494574,,,,,,,,,,,,,,
1.67,100,-6.76E-05,-0.000527556,-0.000620889,-0.000554222,0.001469055,0.000849707,0.001277613,0.00132978,,,,,,,,,,,,,,
1.68,100,5.51E-05,-0.000591556,-0.000744889,-0.000722667,0.001574351,0.000812998,0.001327114,0.001177092,,,,,,,,,,,,,,
1.69,100,0.000324,-0.000713778,-0.001031556,-0.001027111,0.001897859,0.000944082,0.001599312,0.001587245,,,,,,,,,,,,,,
1.7,100,-0.000132,-0.000605333,-0.000689778,-0.000592,0.000829588,0.000645556,0.000888233,0.000745631,,,,,,,,,,,,,,
1.71,100,3.96E-05,-0.000611556,-0.000769333,-0.000842667,0.001456244,0.0007537,0.001085968,0.001295797,,,,,,,,,,,,,,
1.72,100,0.000230222,-0.000783111,-0.000943111,-0.000934222,0.001233882,0.001066774,0.001217804,0.001351023,,,,,,,,,,,,,,
1.73,100,9.87E-05,-0.000488,-0.000776889,-0.000832444,0.001337823,0.00074574,0.001265809,0.001430764,,,,,,,,,,,,,,
1.74,100,-4.13E-05,-0.000821333,-0.000894667,-0.000925778,0.000945952,0.000938093,0.001066068,0.001088282,,,,,,,,,,,,,,
1.75,100,0.000166222,-0.000771556,-0.000829333,-0.000898222,0.001129652,0.001006596,0.001156858,0.001173305,,,,,,,,,,,,,,
1.76,100,0.000285333,-0.001045778,-0.001243556,-0.001314667,0.001537215,0.001015718,0.00148042,0.001764072,,,,,,,,,,,,,,
1.77,100,0.000398667,-0.000885778,-0.001081333,-0.001112445,0.002052318,0.001207536,0.001663518,0.001531941,,,,,,,,,,,,,,
1.78,100,-0.000128,-0.000905778,-0.000892444,-0.001048,0.001380231,0.000985601,0.001165524,0.001452459,,,,,,,,,,,,,,
1.79,100,0.000355111,-0.000949333,-0.001233778,-0.001327111,0.001977778,0.000990214,0.001496348,0.001863341,,,,,,,,,,,,,,
1.8,100,0.000128445,-0.000944889,-0.001242667,-0.001278222,0.002766672,0.001286813,0.00183444,0.002557638,,,,,,,,,,,,,,
1.81,100,0.000312445,-0.001092,-0.001356445,-0.001316445,0.001763537,0.001035093,0.001455696,0.001512938,,,,,,,,,,,,,,
1.82,100,-8.62E-05,-0.000946222,-0.001110667,-0.001101778,0.001126311,0.001097306,0.001411718,0.001604245,,,,,,,,,,,,,,
1.83,100,0.000725778,-0.001143111,-0.001663111,-0.001716445,0.002671544,0.001297048,0.001984903,0.002378586,,,,,,,,,,,,,,
1.84,100,0.000444,-0.001122667,-0.001567111,-0.001598223,0.001839672,0.001428205,0.001929336,0.001972792,,,,,,,,,,,,,,
1.85,100,0.000120444,-0.001110667,-0.001468445,-0.001428445,0.001653026,0.001161753,0.00166923,0.001674288,,,,,,,,,,,,,,
1.86,100,0.000238667,-0.000932445,-0.001234667,-0.001436889,0.002432493,0.001541345,0.001406828,0.002588749,,,,,,,,,,,,,,
1.87,100,-5.33E-05,-0.000991111,-0.001317778,-0.00116,0.001488909,0.001327119,0.001478503,0.00130678,,,,,,,,,,,,,,
1.88,100,0.000257778,-0.001382222,-0.001631111,-0.001671111,0.001896252,0.001464032,0.001760814,0.001899105,,,,,,,,,,,,,,
1.89,100,0.000843111,-0.001205778,-0.001656889,-0.001688,0.002468299,0.001364563,0.002108252,0.002180797,,,,,,,,,,,,,,
1.9,100,0.000730667,-0.000933778,-0.001849334,-0.001936,0.003267773,0.001546775,0.002291558,0.00292683,,,,,,,,,,,,,,
1.91,100,0.000571556,-0.001315111,-0.001764,-0.001824,0.002166173,0.001533779,0.002172063,0.002178539,,,,,,,,,,,,,,
1.92,100,0.000971555,-0.001581778,-0.002252889,-0.002135111,0.002843201,0.001598507,0.002493787,0.002586323,,,,,,,,,,,,,,
1.93,100,0.000486222,-0.001429334,-0.001691556,-0.002016,0.002962188,0.001406816,0.002002239,0.002616026,,,,,,,,,,,,,,
1.94,100,0.001592445,-0.001054222,-0.002369778,-0.002829778,0.004929101,0.001942767,0.003488273,0.004876059,,,,,,,,,,,,,,
1.95,100,0.000366222,-0.001367111,-0.001793778,-0.001829333,0.002421265,0.001481756,0.002210847,0.002753494,,,,,,,,,,,,,,
1.96,100,0.000560889,-0.001583556,-0.002103556,-0.002145778,0.002846519,0.001538698,0.00209647,0.002687578,,,,,,,,,,,,,,
1.97,100,0.001158667,-0.001745778,-0.002465778,-0.002614667,0.003501857,0.00165129,0.002378509,0.003161034,,,,,,,,,,,,,,
1.98,100,0.000999111,-0.001774222,-0.002216445,-0.002785333,0.003285894,0.001751514,0.002416697,0.003114252,,,,,,,,,,,,,,
1.99,100,0.001296889,-0.001747556,-0.002343112,-0.002749778,0.003389583,0.001881034,0.002384859,0.003090366,,,,,,,,,,,,,,
2,100,0.000698667,-0.001550222,-0.001901334,-0.001968,0.002416634,0.001483117,0.002003578,0.002430856,,,,,,,,,,,,,,
2.01,100,0.002664,-0.001460445,-0.003407111,-0.004671554,0.007285648,0.002157182,0.004445959,0.007642814,,,,,,,,,,,,,,
2.02,100,0.002470667,-0.001480445,-0.003293778,-0.003971555,0.006563422,0.001826161,0.004460335,0.006187547,,,,,,,,,,,,,,
2.03,100,0.001606222,-0.001753778,-0.003013778,-0.003351556,0.004392717,0.00167231,0.003257761,0.004490925,,,,,,,,,,,,,,
2.04,100,0.002573778,-0.002059556,-0.003524,-0.004261778,0.005883939,0.002127894,0.003545598,0.005673382,,,,,,,,,,,,,,
2.05,100,0.002795556,-0.001968889,-0.003695556,-0.004593333,0.005625777,0.002478992,0.003618369,0.005405752,,,,,,,,,,,,,,
2.06,100,0.002328889,-0.002082223,-0.003584445,-0.004188889,0.004593578,0.002292122,0.003210184,0.004558276,,,,,,,,,,,,,,
2.07,100,0.002249333,-0.002050667,-0.003497334,-0.004021778,0.00433028,0.002055036,0.003541308,0.004614927,,,,,,,,,,,,,,
2.08,100,0.001792,-0.002670223,-0.003561334,-0.004063555,0.0040515,0.002172653,0.003633276,0.004482397,,,,,,,,,,,,,,
2.09,100,0.001693333,-0.001988889,-0.003275556,-0.003713333,0.004608255,0.002198059,0.003141737,0.005017575,,,,,,,,,,,,,,
2.1,100,0.002046667,-0.001886667,-0.003528889,-0.003975555,0.004738351,0.001745772,0.003212997,0.004622584,,,,,,,,,,,,,,
2.11,100,0.002894222,-0.002101334,-0.004014667,-0.004914666,0.005529909,0.002292223,0.003986574,0.005674727,,,,,,,,,,,,,,
2.12,100,0.002301778,-0.002267112,-0.003809334,-0.004391555,0.004680759,0.002452299,0.003726603,0.004545206,,,,,,,,,,,,,,
2.13,100,0.002631556,-0.002177334,-0.003970667,-0.004839555,0.005061453,0.002066534,0.003518417,0.004967876,,,,,,,,,,,,,,
2.14,100,0.004197778,-0.002184445,-0.004968889,-0.006579999,0.006778242,0.00272369,0.004373418,0.006493682,,,,,,,,,,,,,,
2.15,100,0.001770667,-0.002033778,-0.003340445,-0.004113778,0.003640435,0.002287729,0.003018238,0.00417103,,,,,,,,,,,,,,
2.16,100,0.002330222,-0.002229778,-0.003709778,-0.004265334,0.004782413,0.002302018,0.003170122,0.00469556,,,,,,,,,,,,,,
2.17,100,0.006972001,-0.002661334,-0.00719911,-0.009303553,0.008623425,0.003991652,0.005559004,0.008830966,,,,,,,,,,,,,,
2.18,100,0.003404445,-0.00266889,-0.005068889,-0.005902222,0.006519964,0.002411187,0.004691372,0.00641639,,,,,,,,,,,,,,
2.19,100,0.003913333,-0.002397778,-0.004975556,-0.006366666,0.007355969,0.002712105,0.004624769,0.006402847,,,,,,,,,,,,,,
2.2,100,0.003792444,-0.002460889,-0.005096444,-0.006347554,0.007047497,0.002968341,0.00474899,0.006907486,,,,,,,,,,,,,,
2.21,100,0.004932,-0.002323556,-0.005552444,-0.007474665,0.008134651,0.00325057,0.004593882,0.008102515,,,,,,,,,,,,,,
2.22,100,0.004775556,-0.002664445,-0.005928889,-0.007275555,0.006739275,0.002946057,0.004888758,0.00665804,,,,,,,,,,,,,,
2.23,100,0.005870667,-0.002562667,-0.006673777,-0.008451553,0.008249973,0.00323748,0.005645386,0.008478149,,,,,,,,,,,,,,
2.24,100,0.004904001,-0.003062668,-0.005804888,-0.007329331,0.007676295,0.002396831,0.004795822,0.00775731,,,,,,,,,,,,,,
2.25,100,0.006325334,-0.001972445,-0.006934665,-0.009096886,0.008978476,0.003062585,0.006227076,0.008952999,,,,,,,,,,,,,,
2.26,100,0.006509778,-0.002665778,-0.007336888,-0.009723553,0.008222875,0.003590038,0.005730132,0.00928907,,,,,,,,,,,,,,
2.27,100,0.006113778,-0.002984001,-0.007201777,-0.00912622,0.007790559,0.00365462,0.005264239,0.008115076,,,,,,,,,,,,,,
2.28,100,0.00487289,-0.00304489,-0.006167111,-0.007480443,0.007455312,0.002645125,0.005528125,0.007307105,,,,,,,,,,,,,,
2.29,100,0.007580001,-0.002795556,-0.007419999,-0.010233331,0.008384431,0.003678924,0.005104609,0.008739983,,,,,,,,,,,,,,
2.3,100,0.009832891,-0.003162667,-0.009753775,-0.012553773,0.009477803,0.004066599,0.006091711,0.008991926,,,,,,,,,,,,,,
2.31,100,0.007514667,-0.003338668,-0.007940887,-0.010189775,0.008514856,0.004061489,0.00564527,0.008329964,,,,,,,,,,,,,,
2.32,100,0.005227111,-0.003528445,-0.006692889,-0.007839554,0.007015353,0.003395282,0.004456636,0.006710954,,,,,,,,,,,,,,
2.33,100,0.008145779,-0.003096445,-0.008216443,-0.011347552,0.008940182,0.003618843,0.006042603,0.009069571,,,,,,,,,,,,,,
2.34,100,0.011489335,-0.003235112,-0.01079733,-0.01453955,0.008929659,0.004280321,0.005754217,0.008957379,,,,,,,,,,,,,,
2.35,100,0.009773334,-0.003331112,-0.009273332,-0.012986662,0.009076072,0.003757285,0.00590999,0.009270208,,,,,,,,,,,,,,
2.36,100,0.008211556,-0.003595112,-0.009068443,-0.011623996,0.008925586,0.004081723,0.005628983,0.008955337,,,,,,,,,,,,,,
2.37,100,0.006959556,-0.004556001,-0.008904888,-0.009922665,0.007886738,0.003827668,0.005769292,0.00725323,,,,,,,,,,,,,,
