N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
50,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,,,,,,,,,,,,,,,,,,
1.2,10000,-1.872267036,0.00863378,-0.01128456,0.026633697,5.19E-05,3.70E-06,0.000595244,2.69E-05,,,,,,,,,,,,,,
1.21,10000,-1.98736511,0.006717928,-0.996689357,0.001864902,3.07E-05,1.12E-06,2.88E-06,1.40E-07,,,,,,,,,,,,,,
1.22,10000,-1.986705591,0.006497241,0.996528238,0.001747976,2.86E-05,9.64E-07,2.50E-06,1.12E-07,,,,,,,,,,,,,,
1.23,10000,-1.868080478,0.00942899,0.1492108,0.02907913,5.83E-05,2.57E-06,0.000687155,3.14E-05,,,,,,,,,,,,,,
1.24,10000,-1.984721112,0.00726131,0.995989199,0.001978817,3.42E-05,1.15E-06,3.16E-06,1.66E-07,,,,,,,,,,,,,,
1.25,10000,-1.984465112,0.007292799,0.995930078,0.002002838,3.40E-05,1.18E-06,3.18E-06,1.46E-07,,,,,,,,,,,,,,
1.26,10000,-1.866596158,0.009978839,0.213816,0.061592133,6.20E-05,2.43E-06,0.003019172,6.16E-05,,,,,,,,,,,,,,
1.27,10000,-1.981840794,0.007841847,0.995225519,0.002175982,3.81E-05,1.36E-06,3.72E-06,2.36E-07,,,,,,,,,,,,,,
1.28,10000,-1.981707835,0.007729545,0.995191759,0.00211793,3.62E-05,7.69E-07,3.49E-06,1.53E-07,,,,,,,,,,,,,,
1.29,10000,-1.980384315,0.008249248,-0.994823279,0.002289979,4.11E-05,1.81E-06,4.07E-06,1.98E-07,,,,,,,,,,,,,,
1.3,10000,-1.979218877,0.008011325,0.994452799,0.002238292,3.80E-05,1.44E-06,3.86E-06,1.13E-07,,,,,,,,,,,,,,
1.31,10000,-1.858022879,0.010992716,0.269371521,0.064963033,7.08E-05,3.38E-06,0.003225083,6.97E-05,,,,,,,,,,,,,,
1.32,10000,-1.976443039,0.008893698,0.993740078,0.002491515,4.56E-05,2.38E-06,4.72E-06,2.91E-07,,,,,,,,,,,,,,
1.33,10000,-1.975285438,0.009343277,0.993431918,0.002599172,4.90E-05,1.76E-06,5.07E-06,2.75E-07,,,,,,,,,,,,,,
1.34,10000,-1.974320639,0.009377681,-0.993145758,0.002633376,4.85E-05,2.14E-06,5.17E-06,2.61E-07,,,,,,,,,,,,,,
1.35,10000,-1.973666878,0.009277218,0.992979278,0.002634624,4.73E-05,2.02E-06,5.12E-06,3.79E-07,,,,,,,,,,,,,,
1.36,10000,-1.971869759,0.010155194,0.992483438,0.002826632,5.55E-05,2.25E-06,5.85E-06,2.61E-07,,,,,,,,,,,,,,
1.37,10000,-1.96949168,0.010872928,0.991782878,0.003115458,6.33E-05,4.66E-06,7.06E-06,4.80E-07,,,,,,,,,,,,,,
1.38,10000,-1.969983999,0.010235373,0.991968637,0.00286747,5.57E-05,2.63E-06,5.95E-06,2.92E-07,,,,,,,,,,,,,,
1.39,10000,-1.967749919,0.010471688,0.991325037,0.002993142,5.72E-05,2.77E-06,6.48E-06,2.40E-07,,,,,,,,,,,,,,
1.4,10000,-1.965931999,0.011098483,0.990794637,0.00316201,6.23E-05,3.26E-06,7.11E-06,2.03E-07,,,,,,,,,,,,,,
1.41,10000,-1.963631999,0.011650144,0.990137757,0.003385479,6.82E-05,2.38E-06,8.09E-06,4.59E-07,,,,,,,,,,,,,,
1.42,10000,-1.836948478,0.014492254,-0.442202641,0.14212593,0.000104426,2.60E-06,0.014258012,0.000278268,,,,,,,,,,,,,,
1.43,10000,-1.960664478,0.012049524,-0.989309437,0.003539625,7.05E-05,3.05E-06,8.82E-06,4.68E-07,,,,,,,,,,,,,,
1.44,10000,-1.915796158,0.056712428,0.856231279,0.177570639,0.001552739,4.47E-05,0.021887979,0.000629661,,,,,,,,,,,,,,
1.45,10000,-1.831005279,0.01445667,-0.09935888,0.071579778,9.91E-05,2.30E-06,0.003521208,0.000176004,,,,,,,,,,,,,,
1.46,10000,-1.954985279,0.013333195,-0.987646718,0.003913837,8.38E-05,2.39E-06,1.05E-05,2.85E-07,,,,,,,,,,,,,,
1.47,10000,-1.953414558,0.013200154,0.987113359,0.004103785,8.02E-05,3.27E-06,1.14E-05,5.16E-07,,,,,,,,,,,,,,
1.48,10000,-1.950661757,0.013902853,-0.986437439,0.004151807,8.82E-05,3.54E-06,1.16E-05,7.19E-07,,,,,,,,,,,,,,
1.49,10000,-1.950405437,0.013566339,-0.986389599,0.003996431,8.26E-05,3.59E-06,1.06E-05,6.95E-07,,,,,,,,,,,,,,
1.5,10000,-1.816634398,0.016340998,-0.01167224,0.048378894,0.000117717,5.17E-06,0.00154979,3.63E-05,,,,,,,,,,,,,,
1.51,10000,-1.945783517,0.013310013,-0.985039119,0.003986967,7.75E-05,3.83E-06,1.05E-05,2.84E-07,,,,,,,,,,,,,,
1.52,10000,-1.812126878,0.016926134,0.221630881,0.084867142,0.000123771,7.66E-06,0.004739901,0.000172323,,,,,,,,,,,,,,
1.53,10000,-1.939555358,0.014882802,0.98316608,0.004460601,9.46E-05,3.71E-06,1.30E-05,3.56E-07,,,,,,,,,,,,,,
1.54,10000,-1.937954877,0.015039421,0.98253512,0.004718697,9.52E-05,4.51E-06,1.43E-05,7.58E-07,,,,,,,,,,,,,,
1.55,10000,-1.935242238,0.015184253,-0.981792079,0.004722918,9.59E-05,2.66E-06,1.43E-05,5.24E-07,,,,,,,,,,,,,,
1.56,10000,-1.933976478,0.015677667,0.98148168,0.004929963,0.000100301,6.56E-06,1.56E-05,4.03E-07,,,,,,,,,,,,,,
1.57,10000,-1.931426718,0.016000706,-0.980571039,0.005143702,0.000103593,4.47E-06,1.68E-05,8.19E-07,,,,,,,,,,,,,,
1.58,10000,-1.928232638,0.015941835,-0.979761759,0.004994649,0.000101817,3.46E-06,1.57E-05,6.67E-07,,,,,,,,,,,,,,
1.59,10000,-1.924352798,0.016315166,-0.978532879,0.005201054,0.000104431,3.59E-06,1.69E-05,1.32E-06,,,,,,,,,,,,,,
1.6,10000,-1.787259679,0.018414138,0.1041676,0.108979818,0.000132926,5.91E-06,0.007432611,0.000242158,,,,,,,,,,,,,,
1.61,10000,-1.920538718,0.016652098,0.977155919,0.005778037,0.000106985,4.17E-06,2.06E-05,8.84E-07,,,,,,,,,,,,,,
1.62,10000,-1.919688797,0.017585483,0.977166319,0.005663923,0.000118428,4.72E-06,1.98E-05,8.28E-07,,,,,,,,,,,,,,
1.63,10000,-1.913424158,0.017895099,0.975123759,0.005932184,0.000120339,4.94E-06,2.16E-05,1.21E-06,,,,,,,,,,,,,,
1.64,10000,-1.913133598,0.017488749,0.974991598,0.005742732,0.000113266,5.68E-06,2.02E-05,9.82E-07,,,,,,,,,,,,,,
1.65,10000,-1.902219838,0.017972888,0.971420399,0.006048296,0.000119781,5.30E-06,2.21E-05,9.50E-07,,,,,,,,,,,,,,
1.66,10000,-1.903076478,0.019747347,-0.971570079,0.006686267,0.000141078,4.12E-06,2.68E-05,1.12E-06,,,,,,,,,,,,,,
1.67,10000,-1.902817598,0.019582685,-0.971866879,0.006510718,0.00013713,2.21E-06,2.52E-05,8.33E-07,,,,,,,,,,,,,,
1.68,10000,-1.899070558,0.020319329,-0.970745359,0.006688322,0.000146212,6.11E-06,2.67E-05,1.32E-06,,,,,,,,,,,,,,
1.69,10000,-1.892572158,0.021794427,-0.968208238,0.007586461,0.000165964,6.82E-06,3.39E-05,1.23E-06,,,,,,,,,,,,,,
1.7,10000,-1.887438558,0.021964705,-0.966531039,0.007906111,0.000166224,7.28E-06,3.68E-05,1.86E-06,,,,,,,,,,,,,,
1.71,10000,-1.883452158,0.020880629,0.965360639,0.007277735,0.00014928,8.28E-06,3.10E-05,7.29E-07,,,,,,,,,,,,,,
1.72,10000,-1.738849119,0.022485653,0.14526432,0.100922559,0.000170671,1.04E-05,0.005932075,0.000156075,,,,,,,,,,,,,,
1.73,10000,-1.874758558,0.02181527,-0.962319599,0.008089215,0.000160824,4.56E-06,3.79E-05,2.41E-06,,,,,,,,,,,,,,
1.74,10000,-1.731936798,0.023643434,0.05457856,0.05717114,0.000183193,7.71E-06,0.001886487,5.55E-05,,,,,,,,,,,,,,
1.75,10000,-1.867605278,0.023646795,-0.960358319,0.00822787,0.000182625,8.40E-06,3.86E-05,1.86E-06,,,,,,,,,,,,,,
1.76,10000,-1.852359678,0.032284736,0.938204479,0.047515774,0.000339895,1.04E-05,0.001271685,0.000138389,,,,,,,,,,,,,,
1.77,10000,-1.860622719,0.024049023,0.957785359,0.008942877,0.000184177,5.99E-06,4.54E-05,1.70E-06,,,,,,,,,,,,,,
1.78,10000,-1.857534718,0.022294009,-0.956759199,0.008098893,0.000154951,9.59E-06,3.68E-05,1.99E-06,,,,,,,,,,,,,,
1.79,10000,-1.849733758,0.025631062,0.953309119,0.010418912,0.000205744,3.99E-06,6.03E-05,5.95E-06,,,,,,,,,,,,,,
1.8,10000,-1.701821439,0.026951317,0.24609032,0.04174716,0.000225021,9.46E-06,0.000971754,3.35E-05,,,,,,,,,,,,,,
1.81,10000,-1.842271198,0.024107159,-0.951155919,0.009106076,0.000177297,9.19E-06,4.54E-05,1.33E-06,,,,,,,,,,,,,,
1.82,10000,-1.724882239,0.053382809,0.43502872,0.325622736,0.000867487,2.40E-05,0.058163773,0.001349389,,,,,,,,,,,,,,
1.83,10000,-1.832311518,0.025957839,-0.947312319,0.010235202,0.000198368,7.68E-06,5.70E-05,1.97E-06,,,,,,,,,,,,,,
1.84,10000,-1.679538879,0.028574358,0.08449632,0.066588906,0.00024091,8.76E-06,0.002398598,5.79E-05,,,,,,,,,,,,,,
1.85,10000,-1.819080798,0.028444011,-0.942962958,0.010916893,0.000237256,7.80E-06,6.41E-05,2.29E-06,,,,,,,,,,,,,,
1.86,10000,-1.817542078,0.028005252,-0.941857039,0.011601194,0.000225927,8.79E-06,7.25E-05,2.02E-06,,,,,,,,,,,,,,
1.87,10000,-1.809323518,0.02855976,-0.939295199,0.011498503,0.000231245,8.63E-06,7.09E-05,1.57E-06,,,,,,,,,,,,,,
1.88,10000,-1.798553759,0.029707595,-0.934071359,0.012575121,0.000249035,9.19E-06,8.45E-05,4.20E-06,,,,,,,,,,,,,,
1.89,10000,-1.791910398,0.032294837,0.930276719,0.01867023,0.000289749,1.81E-05,0.000185283,1.70E-05,,,,,,,,,,,,,,
1.9,10000,-1.661074559,0.038060389,-0.429612241,0.185597827,0.000398987,1.96E-05,0.018099865,0.00069532,,,,,,,,,,,,,,
1.91,10000,-1.781037118,0.031654626,-0.928017119,0.013066421,0.000274353,9.64E-06,8.96E-05,4.19E-06,,,,,,,,,,,,,,
1.92,10000,-1.781366879,0.030202574,0.928371199,0.013031877,0.000249745,7.39E-06,8.85E-05,5.26E-06,,,,,,,,,,,,,,
1.93,10000,-1.768722559,0.032216772,-0.923762079,0.014133769,0.000278316,1.02E-05,0.000103664,5.45E-06,,,,,,,,,,,,,,
1.94,10000,-1.764088799,0.031081288,-0.920977279,0.01380076,0.000257984,9.16E-06,9.79E-05,3.89E-06,,,,,,,,,,,,,,
1.95,10000,-1.761377438,0.032645409,-0.919643919,0.015340662,0.000281158,1.22E-05,0.000120207,4.15E-06,,,,,,,,,,,,,,
1.96,10000,-1.747531999,0.036017057,-0.914267999,0.018184638,0.000337364,1.08E-05,0.000167616,1.23E-05,,,,,,,,,,,,,,
1.97,10000,-1.740172639,0.033528287,0.909817759,0.016919606,0.000289963,1.23E-05,0.000144143,5.62E-06,,,,,,,,,,,,,,
1.98,10000,-1.734976479,0.035065564,0.909244239,0.016602183,0.000314181,1.07E-05,0.000139306,3.43E-06,,,,,,,,,,,,,,
1.99,10000,-1.606386079,0.055939552,-0.43980416,0.248560185,0.000794836,3.45E-05,0.03094624,0.000831754,,,,,,,,,,,,,,
2,10000,-1.718969439,0.036680167,-0.898763519,0.020894948,0.000336121,8.74E-06,0.000216316,9.24E-06,,,,,,,,,,,,,,
2.01,10000,-1.649550719,0.066753857,-0.73542904,0.184636518,0.00109885,4.29E-05,0.016999324,0.000699432,,,,,,,,,,,,,,
2.02,10000,-1.678105439,0.051399661,-0.853953279,0.083299605,0.000642241,1.63E-05,0.003457604,0.00022051,,,,,,,,,,,,,,
2.03,10000,-1.686211198,0.0369694,-0.887542639,0.019147844,0.000327874,1.25E-05,0.000180058,7.27E-06,,,,,,,,,,,,,,
2.04,10000,-1.669179039,0.044008749,-0.876319919,0.025669278,0.000468524,9.36E-06,0.000322851,1.66E-05,,,,,,,,,,,,,,
2.05,10000,-1.667977599,0.038489569,-0.877814319,0.022118131,0.000354671,1.54E-05,0.000236756,1.95E-05,,,,,,,,,,,,,,
2.06,10000,-1.630813439,0.070060867,0.78373104,0.172658545,0.001158132,7.60E-05,0.014424693,0.000734485,,,,,,,,,,,,,,
2.07,10000,-1.5152248,0.037193233,-0.09537488,0.08478248,0.000322574,2.27E-05,0.003471059,0.000106718,,,,,,,,,,,,,,
2.08,10000,-1.62656704,0.046999811,-0.84619048,0.035219192,0.000507172,1.62E-05,0.000594266,2.03E-05,,,,,,,,,,,,,,
2.09,10000,-1.567972,0.07495982,0.64525464,0.21380907,0.001285475,5.63E-05,0.021769442,0.000541257,,,,,,,,,,,,,,
2.1,10000,-1.574400159,0.074433969,0.72463216,0.206878533,0.001248434,5.50E-05,0.020371955,0.001075627,,,,,,,,,,,,,,
2.11,10000,-1.59744672,0.052087155,-0.80892736,0.082688535,0.000602992,3.04E-05,0.003210471,0.00029575,,,,,,,,,,,,,,
2.12,10000,-1.60054304,0.044814078,-0.837822319,0.032008437,0.000449357,1.81E-05,0.000480758,1.76E-05,,,,,,,,,,,,,,
2.13,10000,-1.573910239,0.049428617,0.80778064,0.043099485,0.000538669,2.59E-05,0.000865254,3.52E-05,,,,,,,,,,,,,,
2.14,10000,-1.576816959,0.044662695,0.82702296,0.030195242,0.000436024,1.52E-05,0.000427827,1.61E-05,,,,,,,,,,,,,,
2.15,10000,-1.43367728,0.043016092,0.00901288,0.168617586,0.000399962,1.29E-05,0.013249095,0.000356393,,,,,,,,,,,,,,
2.16,10000,-1.5269968,0.05139903,-0.76808824,0.065230585,0.000566406,1.89E-05,0.001965508,7.01E-05,,,,,,,,,,,,,,
2.17,10000,-1.52821616,0.053371238,0.78166704,0.048715764,0.000602734,2.65E-05,0.001093566,3.54E-05,,,,,,,,,,,,,,
2.18,10000,-1.46534448,0.061730695,0.62450144,0.153827294,0.000796429,1.95E-05,0.010825495,0.000368158,,,,,,,,,,,,,,
2.19,10000,-1.47478592,0.053253962,-0.72007992,0.076435187,0.000590548,2.29E-05,0.002681995,0.000154542,,,,,,,,,,,,,,
2.2,10000,-1.47798784,0.054241422,-0.7410896,0.062265883,0.000603792,2.33E-05,0.00175602,0.00012112,,,,,,,,,,,,,,
2.21,10000,-1.45963968,0.052022381,-0.72627536,0.050695182,0.000551022,1.84E-05,0.001163769,4.20E-05,,,,,,,,,,,,,,
2.22,10000,-1.437916321,0.072172357,0.69423624,0.117943274,0.001054405,3.93E-05,0.0062597,0.000243601,,,,,,,,,,,,,,
2.23,10000,-1.41156688,0.068563495,-0.66066472,0.109978341,0.000938985,2.12E-05,0.005424257,0.000245017,,,,,,,,,,,,,,
2.24,10000,-1.396933121,0.053055065,0.6634376,0.064549931,0.000556982,2.08E-05,0.001858565,8.53E-05,,,,,,,,,,,,,,
2.25,10000,-1.340326561,0.063758134,0.460428641,0.186972735,0.0008083,3.20E-05,0.015564882,0.000293681,,,,,,,,,,,,,,
2.26,10000,-1.292360002,0.057701909,0.2077676,0.270967775,0.000654021,3.97E-05,0.032494596,0.000979143,,,,,,,,,,,,,,
2.27,10000,-1.287266561,0.060740435,0.353769521,0.155356123,0.000715859,2.05E-05,0.010530541,0.000437913,,,,,,,,,,,,,,
